protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
socks4,190.12.95.170,37209,socks4://190.12.95.170:37209,elite,false,3701,1819,72.3,53,717,190.12.95.170,1,pe,Lima Province,Lima,America/Lima,27843,ON EMPRESAS S.A.C.,18,2025-09-04T23:49:14.401Z,2026-09-21T04:27:16.253Z
http,186.148.196.60,999,http://186.148.196.60:999,transparent,false,3010,4817,35.4,25.7,74,186.148.196.61,1,pe,Tacna,Tacna,America/Lima,270023,TELECOM BOLIVIA S.A.C,20,2026-07-30T22:11:05.917Z,2026-09-21T04:28:28.337Z
http,45.177.20.243,65535,http://45.177.20.243:65535,transparent,false,3268,3515.5,27.3,23.9,155,45.177.20.242,1,pe,Huánuco Department,Huánuco,America/Lima,267871,P&P BUSINESS GROUP SAC,24,2026-09-17T22:40:53.638Z,2026-09-21T04:23:12.689Z
http,38.158.83.65,999,http://38.158.83.65:999,transparent,true,721,3660,31.3,20.3,133,38.158.82.160,1,pe,Arequipa,Arequipa,America/Lima,272838,FIBERRED SAC,20,2025-09-05T20:06:37.106Z,2026-09-21T04:21:45.001Z
http,38.252.213.248,999,http://38.252.213.248:999,transparent,false,2065,1805,31.8,19.3,166,179.63.7.34,1,pe,Lima Province,Lima,America/Lima,272801,RED AMONES S.A.C.,22,2026-09-03T15:53:37.522Z,2026-09-21T04:23:26.310Z
http,38.158.83.161,999,http://38.158.83.161:999,transparent,true,2457,3556.5,28.3,18.2,325,38.158.82.98,1,pe,Arequipa,Arequipa,America/Lima,272838,FIBERRED SAC,22,2025-10-07T03:04:47.110Z,2026-09-21T04:24:38.924Z
http,181.66.252.65,999,http://181.66.252.65:999,transparent,false,2114,3236.5,28.9,16.7,240,181.66.252.65,1,pe,La Libertad,Laredo,America/Lima,6147,INTEGRATEL PERÚ S.A.A.,24,2026-08-27T11:22:20.360Z,2026-09-21T04:29:11.920Z
http,190.216.163.198,999,http://190.216.163.198:999,transparent,true,4361,2814.5,16.2,16.7,269,190.216.163.198,1,pe,Lima region,Vitarte,America/Lima,3549,"Level 3 Parent, LLC",22,2026-08-27T23:28:25.700Z,2026-09-21T04:22:50.824Z
http,200.39.152.161,999,http://200.39.152.161:999,transparent,false,6236,5561,21.6,13.5,192,200.39.155.239,1,pe,Amazonas,Chachapoyas,America/Lima,270010,AIRWIZ PERU E.I.R.L,12,2025-09-07T13:18:21.651Z,2026-09-21T04:23:44.645Z
http,201.230.121.244,999,http://201.230.121.244:999,transparent,true,1255,4235,28.1,13.2,182,201.230.121.244,1,pe,San Martín Department,Sauce,America/Lima,6147,INTEGRATEL PERÚ S.A.A.,20,2025-09-06T05:35:38.718Z,2026-09-21T04:23:56.607Z
http,64.76.73.131,999,http://64.76.73.131:999,transparent,false,4835,3326,21.1,12,158,64.76.73.131,1,pe,Cuzco Department,Cusco,America/Lima,274087,FIBERLINK E.I.R.L.,23,2026-08-04T10:09:44.419Z,2026-09-21T04:31:54.652Z
http,45.189.116.122,999,http://45.189.116.122:999,transparent,true,8249,3614.5,14.8,10.5,152,179.49.158.94,1,pe,Lima Province,Lima,America/Lima,270081,VEMAX S.A.C,10,2026-07-16T19:10:40.314Z,2026-09-21T04:28:43.471Z
http,38.252.208.29,999,http://38.252.208.29:999,transparent,false,1800,1800,100,,4,38.252.208.30,1,pe,Lima Province,Lima,America/Lima,273000,TELCOM MIKROTIK PERU S.A.C.,3,2026-06-06T20:42:25.952Z,2026-09-21T04:28:35.332Z
