protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
socks4,124.105.40.93,1080,socks4://124.105.40.93:1080,elite,false,1297,1821.5,85.5,79.9,802,124.105.40.93,1,ph,Eastern Visayas,Cabucgayan,Asia/Manila,9299,Philippine Long Distance Telephone Company,12,2026-07-23T16:38:33.871Z,2026-09-22T04:31:35.312Z
socks4,180.191.22.50,4153,socks4://180.191.22.50:4153,elite,false,1051,1129,60.2,60.6,706,203.177.67.62,1,ph,National Capital Region,Quezon City,Asia/Manila,4775,Globe Telecoms,12,2025-09-04T23:48:58.112Z,2026-09-22T04:25:53.584Z
http,124.105.152.179,8181,http://124.105.152.179:8181,transparent,false,9242,3128,46.5,40.2,112,58.69.211.211,1,ph,National Capital Region,Quezon City,Asia/Manila,9299,Philippine Long Distance Telephone Company,9,2026-08-18T01:27:57.275Z,2026-09-22T04:27:01.480Z
http,122.2.48.121,8080,http://122.2.48.121:8080,transparent,true,988,1002.5,55.6,39.4,170,122.2.48.121,1,ph,Calabarzon,San Pablo,Asia/Manila,9299,Philippine Long Distance Telephone Company,7,2025-09-05T20:06:33.727Z,2026-09-22T04:29:36.949Z
http,180.191.22.1,8082,http://180.191.22.1:8082,transparent,false,8105,2953.5,20.4,31.6,494,112.203.41.147,1,ph,National Capital Region,Quezon City,Asia/Manila,9299,Philippine Long Distance Telephone Company,12,2026-09-09T21:22:34.264Z,2026-09-22T04:25:01.524Z
http,120.28.82.207,8082,http://120.28.82.207:8082,transparent,true,4119,2543,13.3,23.8,147,120.28.82.207,1,ph,National Capital Region,Quezon City,Asia/Manila,132199,Globe Telecom Inc.,22,2026-09-17T15:37:13.220Z,2026-09-22T04:33:20.225Z
http,49.151.187.171,8082,http://49.151.187.171:8082,transparent,true,1880,5560,13.5,22.7,203,49.151.187.171,1,ph,Central Luzon,Mabalacat City,Asia/Manila,9299,Philippine Long Distance Telephone Company,23,2026-09-17T03:30:44.651Z,2026-09-22T04:33:46.410Z
http,124.217.13.165,8081,http://124.217.13.165:8081,transparent,true,4225,4121,9.5,18.2,269,124.217.14.136,1,ph,Central Visayas,Cebu City,Asia/Manila,9299,Philippine Long Distance Telephone Company,24,2026-09-07T04:22:20.477Z,2026-09-22T04:33:28.120Z
http,120.28.139.2,8082,http://120.28.139.2:8082,transparent,false,7507,5717,25,17.5,223,120.28.139.2,1,ph,National Capital Region,Quezon City,Asia/Manila,132199,Globe Telecom Inc.,15,2026-07-17T06:16:30.863Z,2026-09-22T04:28:59.038Z
http,203.82.36.163,8082,http://203.82.36.163:8082,transparent,true,2895,4250,18.8,14.7,211,203.82.36.163,1,ph,Calabarzon,San Pedro,Asia/Manila,18187,Ignite Telecommunications Inc,24,2026-09-03T03:48:28.478Z,2026-09-22T04:29:32.221Z
http,122.3.77.27,8082,http://122.3.77.27:8082,transparent,false,5541,5034.5,11.5,13.7,183,122.3.77.27,1,ph,Calabarzon,Antipolo,Asia/Manila,9299,Philippine Long Distance Telephone Company,19,2025-09-05T20:06:33.071Z,2026-09-22T04:29:33.802Z
