protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,49.151.184.88,8082,http://49.151.184.88:8082,transparent,false,3025,4500,59.2,59.2,71,49.151.184.88,1,ph,Central Luzon,Mabalacat City,Asia/Manila,9299,Philippine Long Distance Telephone Company,14,2026-09-26T02:45:52.481Z,2026-09-26T17:08:48.258Z
http,119.92.70.182,8181,http://119.92.70.182:8181,transparent,true,4278,3672.5,52.8,51.5,130,180.194.69.124,1,ph,Central Visayas,Bais,Asia/Manila,9299,Philippine Long Distance Telephone Company,6,2025-09-06T08:35:01.069Z,2026-09-26T17:12:13.803Z
http,124.105.152.179,8181,http://124.105.152.179:8181,transparent,false,8054,4028,39.2,39.9,561,58.69.211.211,1,ph,National Capital Region,Quezon City,Asia/Manila,9299,Philippine Long Distance Telephone Company,9,2026-08-18T01:27:57.275Z,2026-09-26T17:03:32.302Z
http,124.105.40.93,8181,http://124.105.40.93:8181,transparent,false,6976,6320.5,36.3,35.3,470,124.105.40.93,2,ph,Eastern Visayas,Cabucgayan,Asia/Manila,9299,Philippine Long Distance Telephone Company,20,2026-08-10T23:33:22.095Z,2026-09-26T17:10:11.636Z
http,58.69.124.137,8080,http://58.69.124.137:8080,transparent,true,4127,3033.5,41.3,33.5,547,58.69.124.137,1,ph,Western Visayas,Bacolod City,Asia/Manila,9299,Philippine Long Distance Telephone Company,26,2026-07-01T19:58:58.148Z,2026-09-26T17:11:43.033Z
http,112.203.56.161,8082,http://112.203.56.161:8082,transparent,false,1041,3235.5,35.3,31.4,528,112.203.56.161,1,ph,National Capital Region,Caloocan,Asia/Manila,9299,Philippine Long Distance Telephone Company,17,2026-07-18T22:38:02.926Z,2026-09-26T17:08:42.386Z
http,180.191.122.34,8082,http://180.191.122.34:8082,transparent,false,9783,4445.5,47.2,27.7,434,112.204.106.37,1,ph,Calabarzon,Antipolo,Asia/Manila,9299,Philippine Long Distance Telephone Company,15,2026-05-15T21:04:35.436Z,2026-09-26T17:07:53.515Z
http,112.208.167.183,8081,http://112.208.167.183:8081,transparent,true,8078,4447,43.6,27.2,382,112.208.167.183,1,ph,Central Luzon,Marilao,Asia/Manila,9299,Philippine Long Distance Telephone Company,20,2026-09-20T19:58:07.438Z,2026-09-26T17:07:17.319Z
http,103.239.201.50,1,http://103.239.201.50:1,transparent,false,4838,4221.5,31.2,26.9,208,103.239.201.50,1,ph,National Capital Region,Quezon City,Asia/Manila,17970,SKYBroadband SKYCable Corporation,8,2025-09-05T20:06:32.284Z,2026-09-26T17:08:13.371Z
http,124.105.3.173,5051,http://124.105.3.173:5051,transparent,false,5314,4661.5,39,26,273,124.105.3.173,1,ph,Bicol Region,Sagnay,Asia/Manila,9299,Philippine Long Distance Telephone Company,24,2026-09-09T02:48:24.172Z,2026-09-26T17:08:43.466Z
http,160.187.221.78,5050,http://160.187.221.78:5050,transparent,false,4312,3536,29.1,25.7,412,160.187.221.78,1,ph,Soccsksargen,Magpet,Asia/Manila,153359,Imtech Solution and Data Providers,20,2026-09-17T03:30:49.935Z,2026-09-26T17:06:51.904Z
http,124.217.74.168,8082,http://124.217.74.168:8082,transparent,false,6458,3777,28.6,25.7,206,124.217.74.168,1,ph,Central Luzon,Tarlac City,Asia/Manila,9299,Philippine Long Distance Telephone Company,10,2026-05-12T18:30:17.162Z,2026-09-26T17:07:45.964Z
http,49.147.125.164,5050,http://49.147.125.164:5050,transparent,false,2082,3596,30.3,24.5,159,49.147.125.164,1,ph,Western Visayas,Bacolod City,Asia/Manila,9299,Philippine Long Distance Telephone Company,20,2026-09-17T03:30:44.651Z,2026-09-26T17:11:33.791Z
http,180.191.232.119,8080,http://180.191.232.119:8080,transparent,false,6174,1996.5,27.7,23.9,314,49.146.54.179,1,ph,Davao Region,Davao,Asia/Manila,9299,Philippine Long Distance Telephone Company,14,2026-05-10T02:51:30.153Z,2026-09-26T17:04:44.416Z
http,126.209.49.150,8082,http://126.209.49.150:8082,transparent,true,1824,2777,24.7,23.2,319,126.209.49.150,1,ph,Davao Region,Davao,Asia/Manila,135607,Infinivan Incorporated,25,2026-09-17T03:30:46.282Z,2026-09-26T17:04:26.367Z
http,180.191.98.8,8080,http://180.191.98.8:8080,transparent,false,938,4189,31.1,22.6,235,180.191.98.8,1,ph,Central Visayas,Cebu City,Asia/Manila,4775,Globe Telecoms,13,2026-08-11T01:33:35.868Z,2026-09-26T17:08:23.625Z
http,49.146.135.45,9999,http://49.146.135.45:9999,transparent,true,6837,6738,31,21.1,161,49.146.135.45,1,ph,Western Visayas,Bacolod City,Asia/Manila,9299,Philippine Long Distance Telephone Company,25,2026-09-02T05:35:47.932Z,2026-09-26T17:06:48.137Z
http,180.191.229.193,5050,http://180.191.229.193:5050,transparent,true,5195,4367,28.6,21,358,180.191.229.193,1,ph,Central Visayas,Maya,Asia/Manila,4775,Globe Telecoms,23,2026-08-09T22:18:43.690Z,2026-09-26T17:04:19.980Z
http,152.32.68.171,65535,http://152.32.68.171:65535,elite,false,6440,6211,23.6,21,138,152.32.68.171,1,ph,National Capital Region,Makati City,Asia/Manila,17639,Converge ICT Solutions Inc.,8,2025-09-05T20:06:38.235Z,2026-09-26T17:04:16.241Z
http,58.69.61.25,8082,http://58.69.61.25:8082,transparent,false,1705,4713,24,20.8,241,58.69.61.25,1,ph,National Capital Region,Quezon City,Asia/Manila,9299,Philippine Long Distance Telephone Company,10,2026-02-06T21:07:49.268Z,2026-09-26T17:11:54.888Z
http,180.191.2.166,8081,http://180.191.2.166:8081,transparent,false,2354,4056.5,34.2,20.1,334,180.191.2.166,1,ph,Central Luzon,Talavera,Asia/Manila,132199,Globe Telecom Inc.,24,2026-08-09T09:13:04.664Z,2026-09-26T17:11:55.433Z
http,103.25.220.34,8083,http://103.25.220.34:8083,transparent,false,4667,4600.5,35.9,19.2,193,103.25.220.122,1,ph,Central Luzon,San Jose del Monte,Asia/Manila,146954,IMJWANKLIK INTERNET COMMUNICATION SERVICES,24,2026-08-04T10:09:44.410Z,2026-09-26T17:09:27.797Z
http,126.209.110.120,8087,http://126.209.110.120:8087,transparent,true,5503,4745,22.5,18.9,264,126.209.110.120,1,ph,Central Visayas,Cebu City,Asia/Manila,135607,Infinivan Incorporated,25,2026-07-22T02:18:13.200Z,2026-09-26T17:04:05.978Z
http,124.105.110.52,8082,http://124.105.110.52:8082,transparent,false,1019,2079.5,23.3,18.7,311,124.105.110.52,1,ph,Central Luzon,Angeles City,Asia/Manila,9299,Philippine Long Distance Telephone Company,21,2026-08-09T00:08:42.752Z,2026-09-26T17:05:58.814Z
http,45.195.249.150,8080,http://45.195.249.150:8080,transparent,false,5334,4681.5,21.3,17.4,224,45.195.249.150,1,ph,Soccsksargen,Surallah,Asia/Manila,154267,JMJR ENTERPRISES OPC,15,2026-07-25T07:01:09.058Z,2026-09-26T17:09:50.855Z
