protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
socks4,58.65.142.254,8125,socks4://58.65.142.254:8125,elite,false,2762,2655.5,86.3,79,765,58.65.142.254,1,pk,Punjab,Faisalabad,Asia/Karachi,23674,Nayatel (Pvt) Ltd,21,2026-09-20T09:52:56.885Z,2026-09-26T17:10:32.744Z
socks4,202.142.169.142,1080,socks4://202.142.169.142:1080,elite,true,1335,2441.5,74.6,71.9,762,202.142.169.142,1,pk,Punjab,Rawalpindi,Asia/Karachi,9260,Multinet Pakistan Pvt. Ltd.,14,2026-07-08T17:29:53.339Z,2026-09-26T17:07:04.387Z
socks4,160.30.104.170,1080,socks4://160.30.104.170:1080,elite,true,1318,1730,51.2,67.8,758,160.30.104.170,1,pk,Punjab,Rajanpur,Asia/Karachi,134489,S. B Link Network,13,2026-08-09T01:08:58.379Z,2026-09-26T17:09:13.352Z
socks5,27.54.121.90,1080,socks5://27.54.121.90:1080,elite,false,4593,4476.5,61.2,65.5,197,27.54.121.90,1,pk,Khyber Pakhtunkhwa,Abbottabad,Asia/Karachi,55453,SKYTELECOM,13,2026-09-25T06:35:19.677Z,2026-09-26T17:08:56.304Z
socks4,110.38.234.74,1080,socks4://110.38.234.74:1080,elite,true,8356,4199.5,55.7,55,700,110.38.234.74,1,pk,Punjab,Kundian,Asia/Karachi,38264,National WiMAX/IMS environment,21,2026-07-04T20:40:07.186Z,2026-09-26T17:12:56.704Z
socks4,124.109.44.126,4145,socks4://124.109.44.126:4145,elite,false,2278,2327,50.8,43.9,620,124.109.44.126,1,pk,Islamabad,Islamabad,Asia/Karachi,23674,Nayatel (Pvt) Ltd,13,2025-09-04T23:48:58.742Z,2026-09-26T17:09:04.264Z
http,202.59.75.4,8080,http://202.59.75.4:8080,transparent,false,3081,4711.5,49.2,36,470,202.59.75.3,2,pk,Punjab,Lahore,Asia/Karachi,17563,Autonomous System Number for Nexlinx,24,2026-09-19T17:44:20.936Z,2026-09-26T17:05:21.233Z
socks5,72.255.38.180,1080,socks5://72.255.38.180:1080,elite,true,2791,3537,43.8,31.4,538,72.255.38.180,1,pk,Punjab,Lahore,Asia/Karachi,9541,Cyber Internet Services (Pvt) Ltd.,19,2026-08-02T04:41:37.409Z,2026-09-26T17:12:24.592Z
http,202.59.75.5,8080,http://202.59.75.5:8080,transparent,false,2022,2703,24.1,31.3,432,202.59.75.3,2,pk,Punjab,Lahore,Asia/Karachi,17563,Autonomous System Number for Nexlinx,23,2026-09-19T02:36:24.799Z,2026-09-26T17:12:28.932Z
http,110.39.15.206,8082,http://110.39.15.206:8082,transparent,true,4140,5820.5,26.8,20.4,284,110.39.15.206,1,pk,Punjab,Lahore,Asia/Karachi,38264,National WiMAX/IMS environment,25,2026-07-28T06:37:31.689Z,2026-09-26T17:12:23.495Z
socks4,103.146.137.13,1081,socks4://103.146.137.13:1081,elite,false,1599,1448.5,11.1,,24,103.164.49.147,1,pk,Sindh,Karachi,Asia/Karachi,139879,Galaxy Broadband,10,2026-02-28T11:43:35.141Z,2026-09-26T17:09:48.751Z
