protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,178.212.144.7,80,http://178.212.144.7:80,transparent,false,260,268.5,100,99.9,1009,178.212.144.7,1,pl,Podlasie,Augustów,Europe/Warsaw,51436,IDEALAN Sp. z o.o.,16,2025-12-06T19:03:04.342Z,2026-09-19T04:28:54.612Z
socks5,5.75.133.113,10811,socks5://5.75.133.113:10811,elite,true,1519,2614,67,78,837,5.133.9.204,1,pl,Pomerania,Gdańsk,Europe/Warsaw,197155,Artnet Sp. z o.o.,18,2026-08-24T21:47:23.618Z,2026-09-19T04:28:43.565Z
socks4,77.65.50.118,34159,socks4://77.65.50.118:34159,elite,false,602,604.5,74.8,76,459,77.65.50.118,1,pl,Greater Poland,Poznań,Europe/Warsaw,13110,INEA sp. z o.o.,12,2025-09-05T00:23:10.617Z,2026-09-19T04:24:18.366Z
socks4,46.151.118.108,5678,socks4://46.151.118.108:5678,elite,false,1816,2247.5,25,53.5,658,46.151.118.108,1,pl,Mazovia,Lipsko,Europe/Warsaw,197418,NET-KONT@KT P. Janicki i M. Pastuszka S.C.,21,2026-09-13T01:20:45.307Z,2026-09-19T04:24:06.802Z
socks4,185.32.4.126,4153,socks4://185.32.4.126:4153,elite,false,1684,1192.5,44.3,50.8,790,185.32.4.126,1,pl,Lower Silesia,Wrocław,Europe/Warsaw,60645,AS Consulting Sp. z o. o.,12,2025-09-04T23:48:53.302Z,2026-09-19T04:25:01.188Z
socks4,185.14.149.33,4145,socks4://185.14.149.33:4145,elite,false,704,772.5,52.1,50.5,725,185.14.148.66,1,pl,Lubusz,Zielona Góra,Europe/Warsaw,61233,Enformatel Sp. z o.o.,12,2025-09-27T12:14:59.162Z,2026-09-19T04:29:08.834Z
socks4,31.42.6.125,5678,socks4://31.42.6.125:5678,elite,false,645,1687,65.7,49.6,684,31.42.6.125,1,pl,Silesia,Częstochowa,Europe/Warsaw,49528,MARCIN MALOLEPSZY @ALFANET,12,2025-09-05T20:05:52.978Z,2026-09-19T04:22:55.917Z
socks5,45.159.239.128,1080,socks5://45.159.239.128:1080,elite,true,8022,4191.5,43.4,39.7,305,45.159.239.128,1,pl,Lower Silesia,Lubin,Europe/Warsaw,198537,Kamil Turon trading as KAMNET,17,2026-09-15T21:56:45.022Z,2026-09-19T04:29:02.439Z
socks4,46.171.28.162,59311,socks4://46.171.28.162:59311,elite,false,3685,2720.5,32.2,36.1,687,46.171.28.162,1,pl,Łódź Voivodeship,Łódź,Europe/Warsaw,5617,Orange Polska Spolka Akcyjna,22,2025-09-04T23:48:54.320Z,2026-09-19T04:22:47.522Z
http,185.32.4.210,8070,http://185.32.4.210:8070,transparent,false,3332,3421,20,17.1,210,212.127.88.213,1,pl,Lower Silesia,Wrocław,Europe/Warsaw,35179,Korbank S. A.,25,2026-09-09T21:28:51.484Z,2026-09-19T04:28:02.257Z
socks5,194.88.150.90,1080,socks5://194.88.150.90:1080,elite,true,3764,1314.5,100,,12,194.88.150.90,1,pl,Mazovia,Warsaw,Europe/Warsaw,203273,NetCrafters OU,6,2026-09-19T02:36:27.799Z,2026-09-19T04:26:47.091Z
