protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
socks4,77.65.50.118,34159,socks4://77.65.50.118:34159,elite,true,614,626,75.7,77.9,725,77.65.50.118,1,pl,Greater Poland,Poznań,Europe/Warsaw,13110,INEA sp. z o.o.,14,2025-09-05T00:23:10.617Z,2026-09-25T04:23:59.655Z
socks4,91.223.52.141,5678,socks4://91.223.52.141:5678,elite,true,837,974,83.8,72.7,506,91.223.52.254,1,pl,Mazovia,Dębe Wielkie,Europe/Warsaw,197177,InterWan Sp. z o.o.,14,2025-09-05T20:06:35.634Z,2026-09-25T04:26:11.895Z
socks4,185.32.4.110,4153,socks4://185.32.4.110:4153,elite,true,1703,682.5,58.1,62.8,619,185.32.4.110,1,pl,Lower Silesia,Wrocław,Europe/Warsaw,60645,AS Consulting Sp. z o. o.,13,2025-09-04T23:49:00.317Z,2026-09-25T04:28:07.919Z
socks4,185.14.149.33,4145,socks4://185.14.149.33:4145,elite,true,695,692,52.7,59.1,591,185.14.148.66,1,pl,Lubusz,Zielona Góra,Europe/Warsaw,61233,Enformatel Sp. z o.o.,13,2025-09-27T12:14:59.162Z,2026-09-25T04:25:38.486Z
socks4,31.42.6.125,5678,socks4://31.42.6.125:5678,elite,true,803,1679,42.5,57.9,642,31.42.6.125,1,pl,Silesia,Częstochowa,Europe/Warsaw,49528,MARCIN MALOLEPSZY @ALFANET,13,2025-09-05T20:05:52.978Z,2026-09-25T04:27:21.079Z
socks4,46.151.113.10,5678,socks4://46.151.113.10:5678,elite,true,693,706.5,64.8,57.7,586,46.151.113.10,1,pl,Mazovia,Lipsko,Europe/Warsaw,197418,NET-KONT@KT P. Janicki i M. Pastuszka S.C.,23,2026-09-13T01:20:45.307Z,2026-09-25T04:24:42.031Z
socks4,31.42.2.113,5678,socks4://31.42.2.113:5678,elite,false,690,674.5,54.1,57.1,617,31.42.1.124,1,pl,Silesia,Częstochowa,Europe/Warsaw,49528,MARCIN MALOLEPSZY @ALFANET,14,2025-09-04T23:49:13.919Z,2026-09-25T04:22:57.888Z
socks4,185.147.69.48,1080,socks4://185.147.69.48:1080,elite,true,1663,682,58.5,55.4,567,185.147.69.48,1,pl,West Pomerania,Pobierowo,Europe/Warsaw,203028,PRYMAS INWESTYCJE SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA SPOLKA KOMANDYTOWA,19,2026-07-05T17:50:49.446Z,2026-09-25T04:21:41.527Z
socks4,46.151.118.120,5678,socks4://46.151.118.120:5678,elite,true,750,1733,47.5,54.9,366,46.151.118.120,1,pl,Mazovia,Lipsko,Europe/Warsaw,197418,NET-KONT@KT P. Janicki i M. Pastuszka S.C.,17,2026-09-13T23:32:22.604Z,2026-09-25T04:30:17.095Z
socks4,91.150.189.122,60647,socks4://91.150.189.122:60647,elite,false,735,1941.5,47.3,49.2,618,91.150.189.122,1,pl,Subcarpathia,Rzeszów,Europe/Warsaw,42673,Skyware Sp. z o.o.,22,2025-09-05T00:23:07.607Z,2026-09-25T04:24:46.774Z
socks4,185.32.4.65,4153,socks4://185.32.4.65:4153,elite,false,676,1713,49.2,42.2,543,185.32.4.102,2,pl,West Pomerania,Ińsko,Europe/Warsaw,60645,AS Consulting Sp. z o. o.,20,2025-09-04T23:49:05.562Z,2026-09-25T04:29:48.881Z
socks4,185.32.4.102,4153,socks4://185.32.4.102:4153,elite,false,667,683.5,40.4,39.2,536,185.32.4.102,2,pl,West Pomerania,Ińsko,Europe/Warsaw,60645,AS Consulting Sp. z o. o.,1,2026-03-17T17:23:29.926Z,2026-09-25T04:22:07.148Z
socks4,88.220.133.87,4153,socks4://88.220.133.87:4153,elite,true,714,753.5,40.4,37.1,523,88.220.133.87,1,pl,Subcarpathia,Jarosław,Europe/Warsaw,20804,Exatel S.A.,21,2026-09-08T08:35:52.028Z,2026-09-25T04:26:11.374Z
socks4,185.79.243.153,38431,socks4://185.79.243.153:38431,elite,false,1612,3619.5,34.3,35.2,318,185.79.243.153,1,pl,Silesia,Myszków,Europe/Warsaw,206957,PHU Kario-Sat Sp. z o.o.,21,2025-09-04T23:48:54.979Z,2026-09-25T04:29:15.542Z
socks4,46.171.28.162,59311,socks4://46.171.28.162:59311,elite,false,661,2714.5,37.7,35.1,456,46.171.28.162,1,pl,Łódź Voivodeship,Łódź,Europe/Warsaw,5617,Orange Polska Spolka Akcyjna,23,2025-09-04T23:48:54.320Z,2026-09-25T04:25:30.161Z
socks4,212.126.5.248,42344,socks4://212.126.5.248:42344,elite,false,630,1635,24.8,21.8,349,212.126.5.242,1,pl,Greater Poland,Poznań,Europe/Warsaw,8364,"Institute of Bioorganic Chemistry Polish Academy of Science, Poznan Supercomputing and Networking Center",13,2025-09-04T23:49:02.471Z,2026-09-25T04:28:08.438Z
socks4,37.128.107.102,4145,socks4://37.128.107.102:4145,elite,true,615,1677,19.3,16.7,252,37.128.107.102,1,pl,Mazovia,Warsaw,Europe/Warsaw,12741,Netia SA,12,2025-09-05T20:06:37.974Z,2026-09-25T04:25:58.857Z
