protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,51.250.22.105,3128,http://51.250.22.105:3128,transparent,false,620,644,98.7,98.7,75,51.250.22.105,1,ru,Moscow,Moscow,Europe/Moscow,200350,Yandex.Cloud LLC,10,2025-10-03T17:04:34.022Z,2026-09-19T04:30:46.433Z
http,195.19.217.200,3128,http://195.19.217.200:3128,transparent,true,1469,1671,99.3,98.5,400,195.19.217.200,1,ru,Buryatiya Republic,Ulan-Ude,Asia/Irkutsk,8359,MTS PJSC,15,2026-03-31T13:20:13.874Z,2026-09-19T04:29:16.635Z
http,5.129.249.123,61925,http://5.129.249.123:61925,elite,true,885,623.5,96.6,96.6,58,5.129.249.123,1,ru,Moscow,Moscow,Europe/Moscow,9123,JSC TIMEWEB,12,2026-09-18T18:32:17.144Z,2026-09-19T04:28:46.169Z
http,46.47.197.210,3128,http://46.47.197.210:3128,elite,false,639,634,91.7,92.8,971,46.47.197.210,1,ru,Novgorod Oblast,Kresttsy,Europe/Moscow,20632,PJSC MegaFon,1,2026-03-17T17:23:32.269Z,2026-09-19T04:26:01.409Z
http,2.59.43.253,22222,http://2.59.43.253:22222,transparent,true,553,620,75.9,83.7,251,2.59.43.253,1,ru,St.-Petersburg,Saint Petersburg,Europe/Moscow,9123,JSC TIMEWEB,8,2026-07-14T17:51:58.285Z,2026-09-19T04:26:02.978Z
http,176.99.134.183,8090,http://176.99.134.183:8090,elite,false,3731,4868.5,66.7,57.1,685,176.99.134.183,1,ru,Moscow Oblast,Khimki,Europe/Moscow,35598,INETCOM CARRIER LLC,19,2026-06-19T22:27:21.774Z,2026-09-19T04:26:00.355Z
http,195.133.197.14,3128,http://195.133.197.14:3128,elite,false,3308,3031,23.2,17.2,238,195.133.197.14,1,ru,Moscow Oblast,Korolev,Europe/Moscow,48347,JSC Mediasoft ekspert,19,2026-09-03T13:51:13.212Z,2026-09-19T04:28:12.236Z
http,109.73.192.102,1080,http://109.73.192.102:1080,transparent,false,5418,5042,25,14.7,251,109.73.192.102,1,ru,Moscow,Moscow,Europe/Moscow,9123,JSC TIMEWEB,17,2026-03-11T06:01:00.675Z,2026-09-19T04:29:25.025Z
http,176.115.146.232,8080,http://176.115.146.232:8080,transparent,false,3662,4104.5,8.3,10.5,152,176.115.146.232,1,ru,Nizhny Novgorod Oblast,Nizhniy Novgorod,Europe/Moscow,197275,Link Telecom NN Ltd.,17,2026-02-09T14:42:40.701Z,2026-09-19T04:26:25.603Z
http,77.50.183.34,8080,http://77.50.183.34:8080,transparent,false,1610,3518.5,9.4,8.9,169,77.50.183.37,1,ru,Moscow,Moscow,Europe/Moscow,34602,MEGASVYAZ LLC,20,2026-06-12T12:54:54.811Z,2026-09-19T04:31:13.479Z
