protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
socks4,83.219.1.130,5678,socks4://83.219.1.130:5678,elite,false,905,1920,78.2,70.4,901,83.219.1.130,1,ru,Perm Krai,Perm,Asia/Yekaterinburg,12389,PJSC Rostelecom,12,2025-09-05T20:06:31.946Z,2026-09-17T22:36:05.971Z
socks4,94.247.241.70,51006,socks4://94.247.241.70:51006,elite,false,718,1722,75.4,67.3,896,94.247.241.70,1,ru,St.-Petersburg,Saint Petersburg,Europe/Moscow,41733,JSC ER-Telecom Holding,19,2025-09-04T23:49:07.449Z,2026-09-17T22:29:26.045Z
socks4,46.8.104.176,1080,socks4://46.8.104.176:1080,elite,false,3786,762.5,78.7,65.8,873,46.8.104.176,1,ru,Leningradskaya Oblast',Koltushi,Europe/Moscow,207952,Evro Telecom OOO,19,2026-03-10T04:47:34.383Z,2026-09-17T22:33:10.957Z
socks4,88.87.79.18,3629,socks4://88.87.79.18:3629,elite,false,1858,1865,61.3,60.6,870,88.87.79.18,1,ru,Volgograd Oblast,Volgograd,Europe/Volgograd,39435,JSC ER-Telecom Holding,12,2025-09-05T20:06:34.853Z,2026-09-17T22:29:36.087Z
socks4,37.193.125.68,1090,socks4://37.193.125.68:1090,elite,false,1911,1929,69.8,59.7,861,37.193.125.68,1,ru,Novosibirsk Oblast,Novosibirsk,Asia/Novosibirsk,31200,Novotelecom Ltd,20,2026-04-20T07:47:43.644Z,2026-09-17T22:31:24.897Z
socks4,46.8.60.34,1080,socks4://46.8.60.34:1080,elite,false,857,842,58.5,48.8,764,46.8.60.34,1,ru,Krasnodar Krai,Krasnodar,Europe/Moscow,56701,LLC AVANTA TELECOM,12,2025-09-05T20:05:45.863Z,2026-09-17T22:33:06.223Z
socks4,212.103.118.77,5678,socks4://212.103.118.77:5678,elite,false,779,795,46.1,45.8,675,212.103.118.77,1,ru,Bryansk Oblast,Bryansk,Europe/Moscow,57044,JSC ER-Telecom Holding,13,2025-09-04T23:48:53.518Z,2026-09-17T22:30:09.301Z
socks4,212.220.13.98,4153,socks4://212.220.13.98:4153,elite,false,2030,1059,53.8,45.7,753,212.220.13.98,1,ru,Yamalo-Nenets,Salekhard,Asia/Yekaterinburg,12389,PJSC Rostelecom,13,2025-09-04T23:48:58.436Z,2026-09-17T22:36:40.972Z
socks4,31.148.13.96,1080,socks4://31.148.13.96:1080,elite,false,1783,1262.5,45,45.4,826,31.148.13.96,1,ru,Moscow,Moscow,Europe/Moscow,61372,AZIMUT TELECOM Ltd.,19,2026-07-06T01:59:44.559Z,2026-09-17T22:30:34.629Z
socks4,85.113.204.41,8080,socks4://85.113.204.41:8080,elite,false,789,817.5,55,42.1,399,85.113.204.41,1,ru,Yaroslavl Oblast,Yaroslavl,Europe/Moscow,13118,PJSC Rostelecom,12,2026-02-05T18:53:43.162Z,2026-09-17T22:29:54.275Z
socks4,178.57.106.43,4145,socks4://178.57.106.43:4145,elite,false,3792,781.5,50,42.1,432,178.57.106.43,1,ru,Vologda Oblast,Suda,Europe/Moscow,61403,Sever Telecom JSC,18,2026-05-17T03:15:08.765Z,2026-09-17T22:32:26.571Z
socks4,188.191.18.66,1080,socks4://188.191.18.66:1080,elite,false,888,920.5,61.4,41.1,676,188.191.18.66,1,ru,Rostov,Rostov-on-Don,Europe/Moscow,28761,CrimeaCom South LLC,11,2026-03-10T06:48:40.057Z,2026-09-17T22:34:36.850Z
socks4,89.250.148.154,4145,socks4://89.250.148.154:4145,elite,false,3854,886,55.1,40.8,735,89.250.148.154,1,ru,Tyumen Oblast,Tyumen,Asia/Yekaterinburg,41682,JSC ER-Telecom Holding,12,2025-09-05T20:06:33.746Z,2026-09-17T22:35:31.540Z
socks4,188.143.169.22,33333,socks4://188.143.169.22:33333,elite,false,3862,3749,48.6,40.1,705,188.143.169.22,1,ru,St.-Petersburg,Saint Petersburg,Europe/Moscow,44050,Petersburg Internet Network ltd.,20,2025-09-05T20:06:37.377Z,2026-09-17T22:37:21.180Z
socks4,185.26.168.17,4153,socks4://185.26.168.17:4153,elite,false,854,887,33.8,33,452,185.26.168.17,1,ru,Astrakhan Oblast,Astrakhan,Europe/Astrakhan,60738,OOO PKF Delta Telekom,12,2025-12-04T02:03:41.001Z,2026-09-17T22:31:49.529Z
socks4,185.30.43.65,60606,socks4://185.30.43.65:60606,elite,false,4266,2479,39.6,31.9,423,185.30.43.65,1,ru,Stavropol Kray,Georgiyevsk,Europe/Moscow,49759,"SerDi TeleCom, LTD",10,2025-09-05T20:06:34.460Z,2026-09-17T22:36:34.238Z
socks4,46.29.116.3,4145,socks4://46.29.116.3:4145,elite,false,7930,4161,32.6,30.3,145,46.29.116.3,1,ru,Stavropol Kray,Pyatigorsk,Europe/Moscow,44963,Stavtelecom LLC,10,2025-09-04T23:49:06.425Z,2026-09-17T22:32:26.576Z
socks4,95.163.20.1,4153,socks4://95.163.20.1:4153,elite,false,720,1300.5,36.1,29.7,609,213.248.39.166,1,ru,Moscow,Moscow,Europe/Moscow,12695,LLC Digital Network,18,2025-09-05T20:06:34.839Z,2026-09-17T22:37:42.909Z
