protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,176.111.37.5,39811,http://176.111.37.5:39811,transparent,true,631,691,94.8,99.1,994,176.111.37.5,1,se,Stockholm,Stockholm,Europe/Stockholm,214743,Cogento Backbone Limited,14,2026-05-18T15:42:53.068Z,2026-09-22T04:33:20.212Z
socks5,143.20.37.40,1020,socks5://143.20.37.40:1020,elite,true,1068,1766,76.7,58.9,73,46.246.97.78,1,se,Stockholm,Stockholm,Europe/Stockholm,42708,Glesys AB,17,2026-09-19T21:46:30.338Z,2026-09-22T04:32:01.395Z
socks4,85.228.42.180,4153,socks4://85.228.42.180:4153,elite,false,624,636.5,72.9,57.5,657,85.228.42.180,1,se,Stockholm,Upplands Väsby,Europe/Stockholm,8434,Telenor Sverige AB,20,2026-08-14T19:21:43.347Z,2026-09-22T04:29:14.422Z
socks4,185.197.74.126,2080,socks4://185.197.74.126:2080,elite,false,1794,2683,39.4,30.5,420,185.197.74.126,2,se,Stockholm,Stockholm,Europe/Stockholm,210644,AEZA GROUP LLC,12,2026-06-25T18:45:00.146Z,2026-09-22T04:33:51.684Z
socks5,185.197.74.126,2080,socks5://185.197.74.126:2080,elite,true,4209,4546,40.7,28.7,429,185.197.74.126,2,se,Stockholm,Stockholm,Europe/Stockholm,210644,AEZA GROUP LLC,18,2026-06-25T17:44:35.833Z,2026-09-22T04:30:09.461Z
http,40.176.175.23,120,http://40.176.175.23:120,unknown,false,2068,1594.5,12.5,4.6,65,40.176.175.23,1,se,Stockholm,Stockholm,Europe/Stockholm,214503,QuxLabs AB,5,2026-08-05T10:21:26.225Z,2026-09-22T04:27:00.934Z
http,18.170.25.193,7899,http://18.170.25.193:7899,unknown,true,662,662,100,,1,18.170.25.193,1,se,Stockholm,Stockholm,Europe/Stockholm,214503,QuxLabs AB,1,2026-06-30T12:42:22.256Z,2026-09-22T04:27:49.263Z
http,16.52.81.236,50331,http://16.52.81.236:50331,unknown,false,837,837,100,,3,16.52.81.236,1,se,Stockholm,Stockholm,Europe/Stockholm,214503,QuxLabs AB,1,2026-06-18T12:09:06.122Z,2026-09-22T04:29:23.577Z
http,15.135.215.62,11645,http://15.135.215.62:11645,unknown,true,2623,2623,100,,1,15.135.215.62,1,se,Stockholm,Stockholm,Europe/Stockholm,214503,QuxLabs AB,1,2026-08-13T08:03:35.254Z,2026-09-22T04:27:49.293Z
socks5,56.68.116.64,8180,socks5://56.68.116.64:8180,unknown,false,2730,3027,30,,10,56.68.116.64,1,se,Stockholm,Stockholm,Europe/Stockholm,214503,QuxLabs AB,1,2026-09-22T01:13:58.056Z,2026-09-22T04:32:54.013Z
http,44.200.234.67,17046,http://44.200.234.67:17046,unknown,false,3711,2220,43.8,,41,44.200.234.67,1,se,Stockholm,Stockholm,Europe/Stockholm,214503,QuxLabs AB,2,2026-08-28T06:32:10.903Z,2026-09-22T04:33:09.559Z
http,56.155.73.215,6630,http://56.155.73.215:6630,unknown,true,4356,1707,30,,10,56.155.73.215,2,se,Stockholm,Stockholm,Europe/Stockholm,214503,QuxLabs AB,1,2026-09-22T01:13:37.574Z,2026-09-22T04:30:33.090Z
