protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,97.74.87.226,80,http://97.74.87.226:80,elite,false,1149,1136,98.6,99,992,97.74.87.226,1,sg,Singapore,Singapore,Asia/Singapore,26496,"GoDaddy.com, LLC",1,2026-03-17T17:23:34.195Z,2026-09-26T04:31:05.821Z
http,129.226.93.232,80,http://129.226.93.232:80,transparent,false,1042,3030.5,92.9,97.8,986,43.156.46.175,1,sg,Singapore,Singapore,Asia/Singapore,132203,"Tencent Building, Kejizhongyi Avenue",11,2026-04-12T10:52:48.416Z,2026-09-26T04:29:59.784Z
http,43.134.39.221,10000,http://43.134.39.221:10000,elite,false,1010,1013,96.3,96.3,135,43.134.39.221,2,sg,Singapore,Singapore,Asia/Singapore,132203,"Tencent Building, Kejizhongyi Avenue",13,2026-09-25T05:34:44.639Z,2026-09-26T04:32:39.815Z
http,165.225.113.220,11589,http://165.225.113.220:11589,elite,false,1464,1153.5,94.2,95.8,831,165.225.113.214,1,sg,Singapore,Singapore,Asia/Singapore,53813,"ZSCALER, INC.",6,2025-09-13T18:47:41.545Z,2026-09-26T04:30:29.642Z
http,143.42.66.91,80,http://143.42.66.91:80,elite,false,848,923.5,97.9,95.3,948,112.199.233.89,1,sg,Singapore,Singapore,Asia/Singapore,4773,MobileOne Ltd. Mobile/Internet Service Provider Singapore,1,2026-03-17T17:23:31.721Z,2026-09-26T04:24:20.936Z
http,172.237.73.24,80,http://172.237.73.24:80,elite,false,6401,4859,77.9,92,960,172.237.73.24,1,sg,Singapore,Singapore,Asia/Singapore,63949,Akamai Connected Cloud,10,2025-12-07T16:15:05.282Z,2026-09-26T04:28:26.989Z
http,172.236.134.44,3128,http://172.236.134.44:3128,transparent,false,1736,1562,75.2,86.2,397,172.236.134.44,1,sg,Singapore,Singapore,Asia/Singapore,63949,Akamai Connected Cloud,5,2026-08-10T20:32:27.174Z,2026-09-26T04:32:59.855Z
http,43.98.172.166,3128,http://43.98.172.166:3128,transparent,false,5141,1677,73.9,74,784,43.98.172.166,1,sg,Singapore,Singapore,Asia/Singapore,45102,"Alibaba (US) Technology Co., Ltd.",24,2026-08-24T15:44:18.996Z,2026-09-26T04:25:22.946Z
http,8.219.74.197,8081,http://8.219.74.197:8081,elite,true,889,4692.5,35.4,38,258,8.219.74.197,1,sg,Singapore,Singapore,Asia/Singapore,45102,"Alibaba (US) Technology Co., Ltd.",16,2026-09-24T03:20:59.609Z,2026-09-26T04:24:20.414Z
http,111.119.162.248,10915,http://111.119.162.248:10915,elite,true,2321,1800.5,35,36.7,472,47.237.48.66,2,sg,Singapore,Singapore,Asia/Singapore,45102,"Alibaba (US) Technology Co., Ltd.",20,2026-08-15T10:30:42.360Z,2026-09-26T04:27:01.016Z
http,139.159.97.82,10900,http://139.159.97.82:10900,anonymous,true,4743,1143,41,33.1,459,164.52.107.81,1,sg,Singapore,Singapore,Asia/Singapore,63199,"CDS Global Cloud Co., Ltd",12,2025-09-09T11:46:45.632Z,2026-09-26T04:28:21.706Z
http,13.251.124.107,3128,http://13.251.124.107:3128,transparent,true,6608,7497.5,40,28.9,312,13.251.124.107,1,sg,Singapore,Singapore,Asia/Singapore,16509,"Amazon.com, Inc.",22,2026-09-18T10:47:14.468Z,2026-09-26T04:30:37.131Z
http,45.149.93.120,8015,http://45.149.93.120:8015,transparent,true,5270,3590,40.9,28,411,45.149.93.120,1,sg,Singapore,Singapore,Asia/Singapore,211407,AS Perwira Media,16,2026-05-18T16:45:59.209Z,2026-09-26T04:25:55.281Z
http,138.2.64.185,8118,http://138.2.64.185:8118,elite,false,3539,3374.5,12.5,9.5,95,138.2.64.185,1,sg,Singapore,Kampong Loyang,Asia/Singapore,31898,Oracle Corporation,24,2025-09-07T07:14:02.866Z,2026-09-26T04:25:49.974Z
