protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
socks5,213.35.122.117,1080,socks5://213.35.122.117:1080,elite,true,1764,1581,99.3,99.5,653,213.35.122.117,2,sg,Singapore,Kampong Loyang,Asia/Singapore,31898,Oracle Corporation,14,2026-09-20T13:54:59.715Z,2026-09-25T04:21:36.215Z
socks5,147.93.172.241,5555,socks5://147.93.172.241:5555,elite,false,3498,2555.5,89.4,89.5,143,147.93.172.241,1,sg,Singapore,Singapore,Asia/Singapore,141995,Contabo Asia Private Limited,13,2026-09-24T04:21:33.399Z,2026-09-25T04:21:58.758Z
socks5,45.74.31.25,17173,socks5://45.74.31.25:17173,elite,false,1997,3303.5,43.8,45.5,134,194.233.71.230,8,sg,Singapore,Singapore,Asia/Singapore,141995,Contabo Asia Private Limited,11,2026-09-23T02:07:49.953Z,2026-09-25T04:21:15.907Z
socks5,45.74.31.42,4045,socks5://45.74.31.42:4045,elite,true,4154,2575,52.6,40.7,81,97.74.94.121,11,sg,Singapore,Singapore,Asia/Singapore,26496,"GoDaddy.com, LLC",6,2026-09-23T13:13:38.800Z,2026-09-25T04:21:13.294Z
socks5,45.74.31.42,12568,socks5://45.74.31.42:12568,elite,false,4406,3142,38.5,38.5,78,97.74.94.121,11,sg,Singapore,Singapore,Asia/Singapore,26496,"GoDaddy.com, LLC",13,2026-09-12T20:18:05.271Z,2026-09-25T04:27:48.714Z
socks5,45.74.31.23,11624,socks5://45.74.31.23:11624,elite,false,5905,4285.5,29.3,31.8,258,194.233.71.230,8,sg,Singapore,Singapore,Asia/Singapore,141995,Contabo Asia Private Limited,16,2026-09-19T20:45:56.670Z,2026-09-25T04:29:46.229Z
socks5,45.74.31.30,7549,socks5://45.74.31.30:7549,elite,false,3590,4648.5,38,30.9,110,97.74.94.121,11,sg,Singapore,Singapore,Asia/Singapore,26496,"GoDaddy.com, LLC",11,2026-09-23T17:15:44.369Z,2026-09-25T04:27:26.254Z
socks5,45.74.31.23,11285,socks5://45.74.31.23:11285,elite,false,4499,4989.5,23.6,25.2,309,194.233.71.230,8,sg,Singapore,Singapore,Asia/Singapore,141995,Contabo Asia Private Limited,16,2026-09-19T09:40:06.532Z,2026-09-25T04:24:35.244Z
socks5,45.74.31.50,14585,socks5://45.74.31.50:14585,elite,true,2520,4135.5,37.1,25,164,194.233.71.230,8,sg,Singapore,Singapore,Asia/Singapore,141995,Contabo Asia Private Limited,15,2026-09-15T03:47:12.852Z,2026-09-25T04:29:07.233Z
socks5,45.74.31.50,14787,socks5://45.74.31.50:14787,elite,true,2811,4534.5,31.3,24.7,219,194.233.71.230,8,sg,Singapore,Singapore,Asia/Singapore,141995,Contabo Asia Private Limited,16,2026-09-15T23:15:57.694Z,2026-09-25T04:27:36.687Z
socks5,45.74.31.22,13307,socks5://45.74.31.22:13307,elite,true,4647,5241,27.1,24.4,246,194.233.71.230,8,sg,Singapore,Singapore,Asia/Singapore,141995,Contabo Asia Private Limited,14,2026-09-18T06:45:12.246Z,2026-09-25T04:29:42.060Z
socks5,45.74.31.42,14038,socks5://45.74.31.42:14038,elite,false,6521,4958,28.1,20.8,173,97.74.94.121,11,sg,Singapore,Singapore,Asia/Singapore,26496,"GoDaddy.com, LLC",17,2026-09-16T14:24:08.026Z,2026-09-25T04:24:55.711Z
socks5,45.74.31.22,13871,socks5://45.74.31.22:13871,elite,true,2600,2418.5,15.9,20.3,59,194.233.71.230,8,sg,Singapore,Singapore,Asia/Singapore,141995,Contabo Asia Private Limited,9,2026-09-24T01:20:02.110Z,2026-09-25T04:25:19.207Z
socks5,45.74.31.25,5392,socks5://45.74.31.25:5392,elite,true,3718,3809.5,46.2,20,90,97.74.94.121,11,sg,Singapore,Singapore,Asia/Singapore,26496,"GoDaddy.com, LLC",12,2026-09-15T03:47:12.852Z,2026-09-25T04:29:37.906Z
socks5,45.74.31.30,7660,socks5://45.74.31.30:7660,elite,true,3685,3885.5,34,19.4,108,194.233.71.230,8,sg,Singapore,Singapore,Asia/Singapore,141995,Contabo Asia Private Limited,15,2026-09-11T22:06:34.525Z,2026-09-25T04:27:54.927Z
socks5,45.74.31.42,5243,socks5://45.74.31.42:5243,elite,false,4209,4116,31,19.1,84,97.74.94.121,11,sg,Singapore,Singapore,Asia/Singapore,26496,"GoDaddy.com, LLC",11,2026-09-20T20:58:46.273Z,2026-09-25T04:26:00.408Z
socks5,45.74.31.42,4200,socks5://45.74.31.42:4200,elite,false,3148,5853,27.8,18.8,144,97.74.94.121,11,sg,Singapore,Singapore,Asia/Singapore,26496,"GoDaddy.com, LLC",17,2026-09-09T23:06:33.228Z,2026-09-25T04:23:09.388Z
socks5,45.74.31.30,7402,socks5://45.74.31.30:7402,elite,false,1418,7319,20.8,18.6,70,97.74.94.121,11,sg,Singapore,Singapore,Asia/Singapore,26496,"GoDaddy.com, LLC",11,2026-09-23T22:18:25.568Z,2026-09-25T04:21:19.719Z
socks5,45.74.31.42,4934,socks5://45.74.31.42:4934,elite,true,3902,4227.5,56.5,18.5,92,97.74.94.121,11,sg,Singapore,Singapore,Asia/Singapore,26496,"GoDaddy.com, LLC",16,2026-09-09T21:22:41.910Z,2026-09-25T04:22:58.412Z
socks5,45.74.31.25,9168,socks5://45.74.31.25:9168,elite,true,8416,4654.5,32.1,16.4,104,159.89.195.223,1,sg,Singapore,Singapore,Asia/Singapore,14061,"DigitalOcean, LLC",11,2026-09-15T03:47:12.852Z,2026-09-25T04:28:33.874Z
socks5,45.74.31.42,6189,socks5://45.74.31.42:6189,elite,false,2924,4550,65.9,,41,97.74.94.121,11,sg,Singapore,Singapore,Asia/Singapore,26496,"GoDaddy.com, LLC",10,2026-09-24T21:30:37.589Z,2026-09-25T04:30:39.009Z
socks5,8.219.245.123,1080,socks5://8.219.245.123:1080,elite,false,5102,2510.5,96.7,,30,8.219.245.123,1,sg,Singapore,Singapore,Asia/Singapore,45102,"Alibaba (US) Technology Co., Ltd.",10,2026-09-24T23:31:37.057Z,2026-09-25T04:25:08.751Z
