protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,185.235.16.12,80,http://185.235.16.12:80,unknown,false,698,755,98.6,99.6,1002,185.235.16.12,1,sy,Aleppo,Aleppo,Asia/Damascus,29256,STE PDN Internal AS,10,2025-09-10T20:03:32.461Z,2026-09-26T04:29:48.137Z
socks4,89.43.135.181,1080,socks4://89.43.135.181:1080,elite,false,1835,3836.5,60.3,56.3,689,89.43.135.181,1,sy,Aleppo,Manbij,Asia/Damascus,216472,High Speed For Internet Services L.L.C,19,2026-08-29T00:40:02.356Z,2026-09-26T04:28:30.154Z
http,205.209.66.81,8080,http://205.209.66.81:8080,transparent,false,5771,2306,37.7,34.2,521,205.209.66.81,1,sy,Al-Hasakah,Al Ḩasakah,Asia/Damascus,214707,RCell LLC,21,2026-09-07T04:22:21.227Z,2026-09-26T04:30:23.268Z
http,109.224.242.228,8080,http://109.224.242.228:8080,transparent,true,737,2954.5,19.2,23,209,191.44.71.254,1,sy,Aleppo,Aleppo,Asia/Damascus,216472,High Speed For Internet Services L.L.C,11,2026-07-08T05:23:06.393Z,2026-09-26T04:26:40.905Z
http,193.43.145.231,8080,http://193.43.145.231:8080,transparent,true,1465,2108,28.6,22.5,271,193.43.145.231,1,sy,Rif-dimashq,Babīlā,Asia/Damascus,29256,STE PDN Internal AS,22,2026-09-19T02:36:24.799Z,2026-09-26T04:27:55.651Z
http,193.33.157.18,8080,http://193.33.157.18:8080,transparent,false,1032,4490,26.7,20.9,244,193.33.157.18,1,sy,Damascus Governorate,Damascus,Asia/Damascus,216472,High Speed For Internet Services L.L.C,23,2026-09-08T06:37:23.338Z,2026-09-26T04:27:20.667Z
http,89.43.133.156,8080,http://89.43.133.156:8080,transparent,false,2765,2716.5,33.3,17.7,237,89.43.133.156,1,sy,Homs,Homs,Asia/Damascus,216472,High Speed For Internet Services L.L.C,23,2026-09-07T23:31:09.622Z,2026-09-26T04:29:52.383Z
http,185.225.41.228,7890,http://185.225.41.228:7890,transparent,true,1332,3675.5,17.5,17.2,274,185.225.41.228,1,sy,Rif-dimashq,Qadsayyā,Asia/Damascus,29256,STE PDN Internal AS,23,2026-09-18T05:44:35.769Z,2026-09-26T04:25:55.290Z
http,91.144.30.93,8080,http://91.144.30.93:8080,transparent,false,7652,3100,29.3,15.3,183,91.144.30.93,1,sy,Damascus Governorate,Damascus,Asia/Damascus,29256,STE PDN Internal AS,23,2026-04-21T08:09:19.020Z,2026-09-26T04:29:30.643Z
http,78.155.66.87,8080,http://78.155.66.87:8080,transparent,false,8135,3047,22.1,15.3,170,78.155.66.80,1,sy,Hama,Ḩamāh,Asia/Damascus,29256,STE PDN Internal AS,25,2026-07-29T03:50:38.667Z,2026-09-26T04:29:53.434Z
http,78.155.65.204,8080,http://78.155.65.204:8080,transparent,false,1068,3569,12.5,12.4,201,78.155.65.204,1,sy,Rif-dimashq,Babīlā,Asia/Damascus,29256,STE PDN Internal AS,21,2026-07-22T18:29:27.296Z,2026-09-26T04:27:30.798Z
http,193.43.140.129,8080,http://193.43.140.129:8080,transparent,true,733,743,92.7,,41,193.43.140.129,1,sy,Rif-dimashq,Zākīyah,Asia/Damascus,29256,STE PDN Internal AS,2,2026-04-09T22:20:58.349Z,2026-09-26T04:32:31.867Z
