protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,185.235.16.12,80,http://185.235.16.12:80,unknown,false,749,731.5,100,99.9,1004,185.235.16.12,1,sy,Aleppo,Aleppo,Asia/Damascus,29256,STE PDN Internal AS,10,2025-09-10T20:03:32.461Z,2026-09-21T04:28:26.728Z
http,188.132.249.141,8080,http://188.132.249.141:8080,transparent,false,7903,2511.5,41.5,32.5,246,188.132.249.141,1,sy,Aleppo,Aleppo,Asia/Damascus,216472,High Speed For Internet Services L.L.C,19,2026-09-16T18:26:01.851Z,2026-09-21T04:22:09.543Z
http,193.33.157.87,8080,http://193.33.157.87:8080,transparent,false,3187,4436,33.3,31.6,57,79.98.32.112,1,sy,Damascus Governorate,Damascus,Asia/Damascus,216472,High Speed For Internet Services L.L.C,21,2026-09-11T23:07:10.452Z,2026-09-21T04:24:35.743Z
http,185.225.41.228,7890,http://185.225.41.228:7890,transparent,true,1612,4721,34.8,31.5,159,185.225.41.228,1,sy,Rif-dimashq,Qadsayyā,Asia/Damascus,29256,STE PDN Internal AS,21,2026-09-18T05:44:35.769Z,2026-09-21T04:28:34.236Z
http,201.7.31.236,8080,http://201.7.31.236:8080,transparent,false,5006,3479,37.7,28.9,128,201.4.68.220,1,sy,Damascus Governorate,Damascus,Asia/Damascus,216472,High Speed For Internet Services L.L.C,22,2026-09-18T05:44:35.769Z,2026-09-21T04:23:33.189Z
http,205.209.66.81,8080,http://205.209.66.81:8080,transparent,true,848,1967,41.8,27.8,450,205.209.66.81,1,sy,Al-Hasakah,Al Ḩasakah,Asia/Damascus,214707,RCell LLC,20,2026-09-07T04:22:21.227Z,2026-09-21T04:29:46.709Z
http,188.132.150.149,8080,http://188.132.150.149:8080,transparent,false,1717,2081,26.2,17.5,120,188.132.150.149,1,sy,Aleppo,Aleppo,Asia/Damascus,216472,High Speed For Internet Services L.L.C,19,2026-09-05T05:59:01.429Z,2026-09-21T04:21:54.400Z
http,109.224.242.171,8080,http://109.224.242.171:8080,transparent,true,735,2405.5,18.4,16.6,181,109.224.242.171,1,sy,Aleppo,Aleppo,Asia/Damascus,216472,High Speed For Internet Services L.L.C,21,2026-09-08T06:36:42.943Z,2026-09-21T04:25:05.994Z
http,193.43.159.167,8080,http://193.43.159.167:8080,transparent,true,6459,2639,23.8,15.5,116,193.43.159.167,1,sy,Damascus Governorate,Damascus,Asia/Damascus,29256,STE PDN Internal AS,14,2026-04-12T12:53:08.225Z,2026-09-21T04:21:42.396Z
http,193.43.145.248,8080,http://193.43.145.248:8080,transparent,false,1843,3274,18.4,14.2,219,193.43.145.248,1,sy,Homs,Homs,Asia/Damascus,29256,STE PDN Internal AS,23,2026-08-14T08:17:51.630Z,2026-09-21T04:28:47.735Z
http,193.43.159.164,8080,http://193.43.159.164:8080,transparent,false,6668,3742,23.8,14.2,197,193.43.159.164,1,sy,Rif-dimashq,‘Irbīn,Asia/Damascus,29256,STE PDN Internal AS,16,2026-04-11T02:34:54.024Z,2026-09-21T04:24:41.523Z
http,89.43.132.231,8080,http://89.43.132.231:8080,transparent,false,4867,4643.5,33.3,13.9,173,89.43.132.231,1,sy,Idlib,Idlib,Asia/Damascus,216472,High Speed For Internet Services L.L.C,20,2026-07-07T01:07:44.566Z,2026-09-21T04:30:23.049Z
http,89.43.132.226,8080,http://89.43.132.226:8080,transparent,false,4749,5052.5,26.9,12.9,163,89.43.132.226,1,sy,Idlib,Idlib,Asia/Damascus,216472,High Speed For Internet Services L.L.C,22,2026-04-13T04:01:17.219Z,2026-09-21T04:21:12.615Z
http,193.43.159.165,8080,http://193.43.159.165:8080,transparent,true,8450,4909,19.4,12.8,187,193.43.159.165,1,sy,Damascus Governorate,Damascus,Asia/Damascus,29256,STE PDN Internal AS,19,2026-04-11T02:34:56.940Z,2026-09-21T04:23:56.623Z
http,194.124.36.198,8080,http://194.124.36.198:8080,transparent,false,3635,5415.5,10.7,11.3,168,194.124.36.198,1,sy,Idlib,Ad Dānā,Asia/Damascus,202561,High Speed Telekomunikasyon ve Hab. Hiz. Ltd. Sti.,20,2026-08-08T21:07:34.452Z,2026-09-21T04:24:18.029Z
http,89.43.132.250,8080,http://89.43.132.250:8080,transparent,false,2427,2427,100,,7,89.43.132.250,1,sy,Idlib,Idlib,Asia/Damascus,216472,High Speed For Internet Services L.L.C,16,2026-05-12T02:27:52.756Z,2026-09-21T04:27:54.784Z
