protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
socks4,171.4.85.65,5678,socks4://171.4.85.65:5678,elite,false,8431,2313.5,86.3,87.4,509,171.4.85.65,1,th,Rayong,Rayong,Asia/Bangkok,45758,Triple T Broadband Public Company Limited,19,2026-09-17T20:39:51.794Z,2026-09-22T04:26:19.629Z
socks4,125.25.82.207,5678,socks4://125.25.82.207:5678,elite,false,4297,2312.5,77.5,75,769,125.25.82.207,1,th,Surat Thani,Ko Samui,Asia/Bangkok,23969,TOT Public Company Limited,11,2025-11-11T17:18:15.641Z,2026-09-22T04:28:17.847Z
socks4,203.172.120.179,1080,socks4://203.172.120.179:1080,elite,false,2331,2326.5,69.2,74.5,766,203.172.120.179,1,th,Bangkok,Bangkok,Asia/Bangkok,4750,CS LOXINFO PUBLIC COMPANY LIMITED,19,2026-07-05T03:43:37.275Z,2026-09-22T04:29:35.906Z
socks4,203.156.190.5,5678,socks4://203.156.190.5:5678,elite,false,8712,3703,70.3,68.3,435,203.156.190.5,1,th,Bangkok,Bangkok,Asia/Bangkok,7616,JasTel Network,12,2025-09-04T23:48:54.468Z,2026-09-22T04:32:18.767Z
socks4,159.192.97.129,5678,socks4://159.192.97.129:5678,elite,false,8275,6242,64.4,66.2,719,159.192.97.129,1,th,Phra Nakhon Si Ayutthaya,Wang Noi,Asia/Bangkok,131090,National Telecom Public Company Limited,12,2025-09-04T23:49:05.831Z,2026-09-22T04:23:51.461Z
socks4,118.174.14.65,44336,socks4://118.174.14.65:44336,elite,false,2195,2429,69.9,63.1,713,101.109.82.66,1,th,Bangkok,Bangkok,Asia/Bangkok,23969,TOT Public Company Limited,12,2025-09-04T23:49:07.852Z,2026-09-22T04:31:42.673Z
socks4,61.7.147.227,4145,socks4://61.7.147.227:4145,elite,false,2133,2169,68.1,60.4,690,61.7.147.227,1,th,Bangkok,Bangkok,Asia/Bangkok,131090,National Telecom Public Company Limited,12,2025-09-04T23:49:13.261Z,2026-09-22T04:24:48.510Z
socks4,203.150.113.234,14153,socks4://203.150.113.234:14153,elite,false,1586,3844,52.8,59,285,203.150.113.234,1,th,Chon Buri,Pattaya,Asia/Bangkok,4618,Internet Thailand Company Limited,12,2026-09-18T10:47:16.542Z,2026-09-22T04:32:13.469Z
socks4,1.20.254.32,4153,socks4://1.20.254.32:4153,elite,false,2268,2333,66.3,58.5,680,1.20.254.32,1,th,Bangkok,Bangkok,Asia/Bangkok,23969,TOT Public Company Limited,20,2026-07-08T22:29:52.996Z,2026-09-22T04:29:04.404Z
socks4,203.170.146.146,4153,socks4://203.170.146.146:4153,elite,false,1301,2319.5,47.3,54.4,634,203.170.146.146,1,th,Bangkok,Bangkok,Asia/Bangkok,4750,CS LOXINFO PUBLIC COMPANY LIMITED,12,2025-09-04T23:48:59.735Z,2026-09-22T04:28:37.289Z
socks4,1.4.195.114,4145,socks4://1.4.195.114:4145,elite,false,1258,2300.5,47.8,51,604,1.4.195.114,1,th,Nakhon Ratchasima,Phimai,Asia/Bangkok,23969,TOT Public Company Limited,1,2026-03-17T17:23:29.377Z,2026-09-22T04:31:15.209Z
http,124.120.231.2,8080,http://124.120.231.2:8080,transparent,false,982,1175,39.2,48.1,79,182.52.236.119,1,th,Bangkok,Bangkok,Asia/Bangkok,23969,TOT Public Company Limited,4,2026-09-10T22:54:11.229Z,2026-09-22T04:29:52.826Z
socks4,1.179.151.165,31948,socks4://1.179.151.165:31948,elite,false,4527,3226.5,52.6,46.3,613,1.179.151.165,1,th,Phang Nga,Ban Phru Nai,Asia/Bangkok,131293,TOT Public Company Limited,21,2025-09-04T23:48:53.441Z,2026-09-22T04:33:53.262Z
socks5,66.59.197.63,4000,socks5://66.59.197.63:4000,elite,false,1336,1367,32.7,38.8,307,186.247.190.93,1,th,Bangkok,Bangkok,Asia/Bangkok,212238,Datacamp Limited,17,2026-08-13T17:09:24.127Z,2026-09-22T04:29:51.245Z
socks4,125.27.10.84,4153,socks4://125.27.10.84:4153,elite,false,1411,2852,30.9,32.5,501,110.77.179.135,1,th,Phetchaburi,Cha-am,Asia/Bangkok,131090,National Telecom Public Company Limited,12,2025-09-04T23:48:59.857Z,2026-09-22T04:27:00.421Z
http,1.1.189.58,8080,http://1.1.189.58:8080,transparent,false,8688,7042,12.5,9.2,142,1.1.189.58,1,th,Chumphon,Chumphon,Asia/Bangkok,23969,TOT Public Company Limited,20,2025-09-10T21:05:12.314Z,2026-09-22T04:29:37.494Z
