protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,223.205.45.90,8080,http://223.205.45.90:8080,transparent,true,6896,7035,23.9,24.8,149,223.205.45.90,1,th,Nakhon Pathom,Nakhon Pathom,Asia/Bangkok,45758,Advanced Wireless Network Company Limited,20,2026-09-21T07:03:57.185Z,2026-09-24T04:27:57.898Z
http,184.82.136.98,8081,http://184.82.136.98:8081,transparent,false,4076,4166.5,21,23.9,330,184.82.136.98,1,th,Chon Buri,Pattaya,Asia/Bangkok,133481,AIS Fibre,24,2026-09-17T03:30:49.935Z,2026-09-24T04:24:07.661Z
http,125.26.97.176,8080,http://125.26.97.176:8080,transparent,true,2055,4073,25.7,22.2,325,125.26.97.176,1,th,Chon Buri,Bang Lamung,Asia/Bangkok,23969,TOT Public Company Limited,23,2026-09-15T11:51:23.301Z,2026-09-24T04:31:12.846Z
http,171.103.19.126,8080,http://171.103.19.126:8080,transparent,false,9130,3768.5,23.4,17.8,118,171.103.19.126,1,th,Bangkok,Bangkok,Asia/Bangkok,7470,"TRUE INTERNET Co.,Ltd.",22,2026-06-28T09:20:18.635Z,2026-09-24T04:29:44.950Z
http,110.49.53.69,8081,http://110.49.53.69:8081,transparent,false,9809,6221.5,24.6,15.7,185,110.49.53.69,1,th,Bangkok,Bangkok,Asia/Bangkok,45458,SBN-ISP/AWN-ISP and SBN-NIX/AWN-NIX,20,2025-09-06T05:35:58.837Z,2026-09-24T04:32:22.964Z
http,203.146.80.98,8080,http://203.146.80.98:8080,transparent,false,7314,6415.5,21.8,12.7,197,203.146.80.98,1,th,Bangkok,Bangkok,Asia/Bangkok,45458,SBN-ISP/AWN-ISP and SBN-NIX/AWN-NIX,21,2026-04-13T09:03:56.536Z,2026-09-24T04:31:59.389Z
http,117.18.127.238,1800,http://117.18.127.238:1800,transparent,false,1614,1415,16.1,,33,117.18.127.238,2,th,Bangkok,Bangkok,Asia/Bangkok,56309,"Siamdata Communication Co.,Ltd.",6,2026-09-22T13:19:58.879Z,2026-09-24T04:30:06.739Z
http,161.82.141.220,8080,http://161.82.141.220:8080,transparent,false,1726,6335,12.5,,45,161.82.141.220,1,th,Bangkok,Bangkok,Asia/Bangkok,132280,Symphony Communication (Thailand) PCL.,16,2025-09-05T20:06:12.897Z,2026-09-24T04:26:59.966Z
http,171.5.129.219,8080,http://171.5.129.219:8080,transparent,true,2177,3727,75,,8,171.5.129.219,1,th,Ubon Ratchathani,Nam Khun,Asia/Bangkok,45758,Advanced Wireless Network Company Limited,8,2026-09-24T03:20:59.609Z,2026-09-24T04:31:16.614Z
http,117.18.127.238,1762,http://117.18.127.238:1762,transparent,false,2240,1455,26.3,,19,117.18.127.238,2,th,Bangkok,Bangkok,Asia/Bangkok,56309,"Siamdata Communication Co.,Ltd.",5,2026-09-24T00:19:30.668Z,2026-09-24T04:30:40.299Z
http,124.121.2.205,8080,http://124.121.2.205:8080,transparent,true,8183,2597.5,29.4,,34,124.121.2.205,1,th,Bangkok,Bangkok,Asia/Bangkok,17552,True Online,9,2026-08-07T22:55:06.055Z,2026-09-24T04:29:02.015Z
