protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
socks4,180.183.149.236,5678,socks4://180.183.149.236:5678,elite,false,1287,2305.5,84.3,72.7,917,180.183.149.236,1,th,Bangkok,Bangkok,Asia/Bangkok,138524,Triple T Broadband Public Company Limited,21,2026-09-08T08:35:54.101Z,2026-09-18T04:22:35.758Z
socks4,203.172.120.179,1080,socks4://203.172.120.179:1080,elite,false,8536,2306.5,69.8,72.1,918,203.172.120.179,1,th,Bangkok,Bangkok,Asia/Bangkok,4750,CS LOXINFO PUBLIC COMPANY LIMITED,19,2026-07-05T03:43:37.275Z,2026-09-18T04:31:32.609Z
socks4,180.183.198.87,1080,socks4://180.183.198.87:1080,elite,false,2264,1784.5,71.9,71.9,64,180.183.198.87,1,th,Ubon Ratchathani,Ubon Ratchathani,Asia/Bangkok,138524,Triple T Broadband Public Company Limited,15,2026-09-17T13:36:07.495Z,2026-09-18T04:24:54.177Z
socks4,1.179.172.45,31225,socks4://1.179.172.45:31225,elite,false,2360,2576,72.2,65.5,903,1.179.172.45,1,th,Chon Buri,Phan Thong,Asia/Bangkok,131293,TOT Public Company Limited,20,2025-09-04T23:48:54.821Z,2026-09-18T04:29:46.512Z
socks4,125.25.57.57,4153,socks4://125.25.57.57:4153,elite,false,2316,2269,57.1,54.2,842,125.25.57.57,1,th,Rayong,Pluak Daeng,Asia/Bangkok,23969,TOT Public Company Limited,18,2025-09-04T23:49:12.158Z,2026-09-18T04:25:53.898Z
socks4,183.89.250.246,1080,socks4://183.89.250.246:1080,elite,false,1289,4346,55.8,52.8,618,183.89.250.246,1,th,Bangkok,Bangkok,Asia/Bangkok,45758,Triple T Broadband Public Company Limited,12,2025-09-04T23:49:05.292Z,2026-09-18T04:25:41.175Z
socks4,110.77.149.227,4153,socks4://110.77.149.227:4153,elite,false,1446,2491,61.6,51.5,802,110.77.149.227,1,th,Rayong,Pluak Daeng,Asia/Bangkok,131090,National Telecom Public Company Limited,12,2025-09-04T23:49:02.464Z,2026-09-18T04:24:02.993Z
socks4,183.89.217.91,4153,socks4://183.89.217.91:4153,elite,false,2361,2358,55.3,51.3,843,183.89.217.91,1,th,Nakhon Ratchasima,Dan Khun Thot,Asia/Bangkok,45758,Triple T Broadband Public Company Limited,21,2026-07-09T14:39:59.200Z,2026-09-18T04:24:21.079Z
socks4,61.7.147.227,4145,socks4://61.7.147.227:4145,elite,false,4201,2192.5,57.4,51.3,834,61.7.147.227,1,th,Bangkok,Bangkok,Asia/Bangkok,131090,National Telecom Public Company Limited,12,2025-09-04T23:49:13.261Z,2026-09-18T04:31:34.203Z
socks4,113.53.91.26,4153,socks4://113.53.91.26:4153,elite,false,2249,1762.5,54.8,49.6,702,113.53.91.26,1,th,Chanthaburi,Chanthaburi,Asia/Bangkok,23969,TOT Public Company Limited,11,2025-10-28T04:11:40.250Z,2026-09-18T04:27:29.822Z
socks4,1.4.195.114,4145,socks4://1.4.195.114:4145,elite,false,8476,3281.5,53,48.7,780,1.4.195.114,1,th,Nakhon Ratchasima,Phimai,Asia/Bangkok,23969,TOT Public Company Limited,1,2026-03-17T17:23:29.377Z,2026-09-18T04:26:13.452Z
socks4,171.4.85.65,5678,socks4://171.4.85.65:5678,elite,false,1420,1409.5,95.6,,45,171.4.85.65,1,th,Rayong,Rayong,Asia/Bangkok,45758,Triple T Broadband Public Company Limited,4,2026-09-17T20:39:51.794Z,2026-09-18T04:24:19.936Z
