protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,107.181.155.86,80,http://107.181.155.86:80,elite,false,675,626.5,100,99.7,588,107.181.155.86,1,tr,Istanbul,Istanbul,Europe/Istanbul,213535,YottaSrc,4,2026-09-13T19:32:21.478Z,2026-09-17T22:36:04.944Z
http,95.3.69.222,8080,http://95.3.69.222:8080,transparent,true,687,688,100,99.7,1001,95.3.69.222,1,tr,Muğla,Marmaris,Europe/Istanbul,9121,Turk Telekomunikasyon Anonim Sirketi,24,2026-06-02T04:44:03.820Z,2026-09-17T22:32:59.430Z
http,91.228.227.23,80,http://91.228.227.23:80,transparent,false,648,644.5,96.4,96.6,993,91.228.227.23,1,tr,Istanbul,Istanbul,Europe/Istanbul,214195,Tres Teknoloji A.S.,18,2026-09-05T06:58:31.335Z,2026-09-17T22:35:37.162Z
socks4,176.235.182.90,1080,socks4://176.235.182.90:1080,elite,false,828,833.5,72.3,72.5,269,176.235.182.90,1,tr,Kilis,Elbeyli,Europe/Istanbul,34984,Superonline Iletisim Hizmetleri A.S.,7,2025-09-05T20:06:15.400Z,2026-09-17T22:28:18.024Z
socks4,88.247.31.164,4153,socks4://88.247.31.164:4153,elite,false,1061,1660.5,66.1,61.7,856,88.247.31.164,1,tr,Ankara,Ankara,Europe/Istanbul,9121,Turk Telekomunikasyon Anonim Sirketi,19,2026-07-04T21:40:45.641Z,2026-09-17T22:27:33.822Z
socks4,88.245.138.87,1080,socks4://88.245.138.87:1080,elite,false,827,2003.5,57.5,58.9,858,88.245.138.87,1,tr,Uşak,Uşak,Europe/Istanbul,9121,Turk Telekomunikasyon Anonim Sirketi,12,2025-09-04T23:02:52.967Z,2026-09-17T22:33:30.245Z
socks4,176.235.182.84,1080,socks4://176.235.182.84:1080,elite,false,845,1843,57.5,54.8,716,176.235.182.84,1,tr,Sakarya,Adapazarı,Europe/Istanbul,34984,Superonline Iletisim Hizmetleri A.S.,10,2025-09-05T20:06:35.489Z,2026-09-17T22:32:20.789Z
socks4,147.45.66.116,1082,socks4://147.45.66.116:1082,elite,false,7878,1767.5,53.3,50.4,812,147.45.66.116,1,tr,Istanbul,Istanbul,Europe/Istanbul,215540,GLOBAL CONNECTIVITY SOLUTIONS LLP,11,2026-07-14T08:46:19.879Z,2026-09-17T22:28:05.646Z
socks5,2.56.108.184,1080,socks5://2.56.108.184:1080,elite,true,988,1480.5,60.3,38.9,581,2.56.108.184,1,tr,Istanbul,Istanbul,Europe/Istanbul,205463,Pembe Gul Isguzar Karagoz,16,2026-09-07T06:23:41.121Z,2026-09-17T22:31:43.243Z
http,201.7.31.170,8080,http://201.7.31.170:8080,transparent,true,4885,2963.5,30.4,12.8,164,201.7.31.170,1,tr,Istanbul,Istanbul,Europe/Istanbul,216472,High Speed For Internet Services L.L.C,20,2026-09-07T06:23:59.721Z,2026-09-17T22:28:43.840Z
http,193.33.157.2,8080,http://193.33.157.2:8080,transparent,false,4546,3159.5,37.5,12.5,136,193.33.157.2,1,tr,Kilis,Kilis,Europe/Istanbul,216472,High Speed For Internet Services L.L.C,21,2026-09-07T10:26:17.708Z,2026-09-17T22:36:42.526Z
