protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,107.181.155.86,80,http://107.181.155.86:80,elite,false,588,604,97.2,98.1,974,107.181.155.86,1,tr,Istanbul,Istanbul,Europe/Istanbul,213535,YottaSrc,18,2026-09-13T19:32:21.478Z,2026-09-26T04:25:02.254Z
http,81.90.158.110,3128,http://81.90.158.110:3128,elite,false,1199,1168,30.1,31.8,513,213.142.134.51,1,tr,Istanbul,Istanbul,Europe/Istanbul,207459,TEKNOSOS BILISIM HIZMETLERI VE TIC. LTD. STI.,23,2026-08-17T10:57:40.545Z,2026-09-26T04:25:13.940Z
http,212.175.50.83,8080,http://212.175.50.83:8080,transparent,true,2615,2499.5,43.9,30.5,259,212.175.50.83,1,tr,Istanbul,Istanbul,Europe/Istanbul,9121,Turk Telekomunikasyon Anonim Sirketi,22,2026-09-20T11:53:53.370Z,2026-09-26T04:31:07.414Z
http,176.88.166.219,8080,http://176.88.166.219:8080,transparent,false,7971,746,45.4,29.9,411,176.88.166.219,1,tr,Istanbul,Silivri,Europe/Istanbul,34984,Superonline Iletisim Hizmetleri A.S.,11,2026-04-13T17:15:01.797Z,2026-09-26T04:25:12.342Z
http,212.175.50.78,8085,http://212.175.50.78:8085,transparent,true,763,2389,27.6,29.6,388,212.175.50.78,1,tr,Istanbul,Istanbul,Europe/Istanbul,9121,Turk Telekomunikasyon Anonim Sirketi,23,2026-09-18T02:43:02.344Z,2026-09-26T04:30:14.186Z
http,212.252.73.66,8080,http://212.252.73.66:8080,transparent,true,2767,2306,44.7,26,150,212.252.73.66,1,tr,Hatay,Güneysöğüt,Europe/Istanbul,34984,Superonline Iletisim Hizmetleri A.S.,7,2025-11-20T16:12:41.655Z,2026-09-26T04:30:35.542Z
http,194.124.36.16,8080,http://194.124.36.16:8080,transparent,true,4252,2595.5,50,26,50,194.124.36.16,1,tr,Istanbul,Istanbul,Europe/Istanbul,202561,High Speed Telekomunikasyon ve Hab. Hiz. Ltd. Sti.,16,2026-09-23T01:07:11.334Z,2026-09-26T04:24:01.350Z
http,92.249.62.121,8080,http://92.249.62.121:8080,transparent,false,6615,1328,14.7,24.5,102,92.249.62.121,1,tr,Istanbul,Istanbul,Europe/Istanbul,216472,High Speed For Internet Services L.L.C,15,2026-09-24T06:22:34.030Z,2026-09-26T04:27:57.256Z
http,201.4.69.43,8080,http://201.4.69.43:8080,transparent,true,2076,2049.5,19.8,21.7,235,201.4.69.43,1,tr,Kilis,Kilis,Europe/Istanbul,216472,High Speed For Internet Services L.L.C,16,2026-09-21T19:10:19.612Z,2026-09-26T04:33:23.202Z
http,193.33.157.134,8080,http://193.33.157.134:8080,transparent,true,1818,1265,55.6,21.6,171,193.33.157.134,1,tr,Kilis,Kilis,Europe/Istanbul,216472,High Speed For Internet Services L.L.C,20,2026-09-14T18:42:22.433Z,2026-09-26T04:31:28.162Z
http,201.7.31.146,8080,http://201.7.31.146:8080,transparent,true,1826,3386.5,28.9,16.7,174,201.7.31.146,1,tr,Kilis,Kilis,Europe/Istanbul,216472,High Speed For Internet Services L.L.C,22,2026-09-11T07:59:08.531Z,2026-09-26T04:26:27.131Z
http,188.132.222.148,8080,http://188.132.222.148:8080,transparent,false,1991,2240.5,14.6,15.6,205,188.132.222.148,1,tr,Antalya,Antalya,Europe/Istanbul,202561,High Speed Telekomunikasyon ve Hab. Hiz. Ltd. Sti.,14,2026-02-09T19:45:21.056Z,2026-09-26T04:31:22.341Z
http,193.33.157.19,8080,http://193.33.157.19:8080,transparent,true,7931,4558.5,15.3,15.4,306,193.33.157.19,1,tr,Kilis,Kilis,Europe/Istanbul,216472,High Speed For Internet Services L.L.C,26,2026-09-07T09:24:49.987Z,2026-09-26T04:28:22.249Z
http,89.43.133.201,8080,http://89.43.133.201:8080,transparent,false,4920,2192.5,26.7,13.6,154,201.4.64.45,1,tr,Kilis,Kilis,Europe/Istanbul,216472,High Speed For Internet Services L.L.C,23,2026-09-05T06:58:33.068Z,2026-09-26T04:28:11.626Z
http,195.62.50.4,8080,http://195.62.50.4:8080,transparent,false,8948,3736.5,11.8,10,110,201.7.31.43,1,tr,Istanbul,Istanbul,Europe/Istanbul,216472,High Speed For Internet Services L.L.C,20,2026-04-10T16:29:36.657Z,2026-09-26T04:29:33.284Z
http,149.86.151.182,8080,http://149.86.151.182:8080,transparent,true,833,853,81.8,,11,149.86.151.182,1,tr,Konya,Selçuklu,Europe/Istanbul,208972,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,2,2026-09-26T02:45:52.481Z,2026-09-26T04:28:23.300Z
http,201.4.69.46,8080,http://201.4.69.46:8080,transparent,true,1789,1752,70,,10,201.4.69.46,1,tr,Kilis,Kilis,Europe/Istanbul,216472,High Speed For Internet Services L.L.C,6,2026-09-26T02:45:52.481Z,2026-09-26T04:22:58.064Z
http,198.145.118.103,8080,http://198.145.118.103:8080,transparent,false,4989,1406.5,86.4,,22,198.145.118.103,1,tr,Hatay,Kırıkhan,Europe/Istanbul,202561,High Speed Telekomunikasyon ve Hab. Hiz. Ltd. Sti.,9,2026-09-26T00:44:49.968Z,2026-09-26T04:23:51.873Z
