protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
socks4,95.85.72.169,14488,socks4://95.85.72.169:14488,elite,true,718,713.5,79.6,79.6,88,95.85.72.169,2,ua,Kyiv City,Kyiv,Europe/Kyiv,202422,G-Core Labs S.A.,1,2026-07-04T16:37:34.620Z,2026-09-26T04:28:38.129Z
socks5,95.85.72.169,14488,socks5://95.85.72.169:14488,elite,true,853,851.5,78.4,78.4,88,95.85.72.169,2,ua,Kyiv City,Kyiv,Europe/Kyiv,202422,G-Core Labs S.A.,10,2026-07-04T18:38:42.870Z,2026-09-26T04:26:22.890Z
socks4,37.52.13.164,5678,socks4://37.52.13.164:5678,elite,true,1804,1132.5,85.7,75.5,784,37.52.13.164,1,ua,Kyiv City,Kyiv,Europe/Kyiv,6849,JSC Ukrtelecom,13,2025-09-05T20:06:12.740Z,2026-09-26T04:23:26.517Z
socks4,195.140.226.32,5678,socks4://195.140.226.32:5678,elite,false,1816,1327.5,56,70.6,780,195.140.226.32,1,ua,Kharkiv,Kharkiv,Europe/Kyiv,56465,Therecom Ltd,13,2025-09-04T23:02:46.278Z,2026-09-26T04:32:19.647Z
socks4,194.31.212.115,1080,socks4://194.31.212.115:1080,elite,false,728,771.5,60,69.4,793,194.31.212.115,1,ua,Kyiv Oblast,Irpin,Europe/Kyiv,209548,IrpenComunikaciaService LLC,13,2026-07-08T07:24:08.963Z,2026-09-26T04:31:37.213Z
socks4,185.244.158.4,3129,socks4://185.244.158.4:3129,elite,true,3685,684,72.5,67.6,721,185.244.158.4,1,ua,Kyiv City,Kyiv,Europe/Kyiv,41985,Stargroup LLC,21,2026-07-05T01:42:53.908Z,2026-09-26T04:24:29.423Z
socks4,81.162.249.129,4153,socks4://81.162.249.129:4153,elite,true,755,1767.5,52.5,51.7,615,81.162.249.129,1,ua,Kyiv Oblast,Khotiv,Europe/Kyiv,44032,PP TRCCity TV center,21,2026-07-06T09:10:05.802Z,2026-09-26T04:27:43.498Z
socks4,185.132.1.221,4145,socks4://185.132.1.221:4145,elite,true,3737,1709,49.6,50.5,661,185.132.1.221,1,ua,Odesa,Odesa,Europe/Kyiv,203447,Miratel Ltd,1,2026-03-17T17:23:30.833Z,2026-09-26T04:33:23.741Z
socks4,80.92.227.185,5678,socks4://80.92.227.185:5678,elite,false,745,750.5,62.6,48.4,578,80.92.227.185,1,ua,Kyiv City,Kyiv,Europe/Kyiv,1820,WNET TELECOM USA Corp.,1,2026-03-17T17:23:29.530Z,2026-09-26T04:32:24.938Z
socks4,195.225.49.138,55774,socks4://195.225.49.138:55774,elite,false,1764,1759.5,29.6,45.1,594,195.225.49.132,2,ua,Kyiv City,Kyiv,Europe/Kyiv,51357,"LLC ""SMARTCOM""",13,2025-09-04T23:48:58.861Z,2026-09-26T04:30:44.535Z
socks5,176.37.107.86,11111,socks5://176.37.107.86:11111,elite,false,811,1199.5,42.4,41.7,602,176.37.107.86,1,ua,Kyiv City,Kyiv,Europe/Kyiv,39608,Lanet Network Ltd,20,2026-08-01T16:35:23.813Z,2026-09-26T04:23:29.237Z
socks4,195.225.49.137,55774,socks4://195.225.49.137:55774,elite,false,8006,3778.5,31.3,41,600,195.225.49.132,2,ua,Kyiv City,Kyiv,Europe/Kyiv,51357,"LLC ""SMARTCOM""",11,2025-09-04T23:49:02.929Z,2026-09-26T04:26:38.230Z
socks4,193.200.151.69,32777,socks4://193.200.151.69:32777,elite,true,729,1001.5,52.9,39.7,536,193.200.151.69,1,ua,Odesa,Rozdilna,Europe/Kyiv,42905,LIMANET Ltd.,11,2025-09-05T00:23:08.492Z,2026-09-26T04:27:44.598Z
http,195.226.213.254,8888,http://195.226.213.254:8888,transparent,false,4694,4323,44.6,38.5,444,195.226.213.254,1,ua,Odesa,Fontanka,Europe/Kyiv,197192,Private Enterprise KTV AIDA,25,2026-08-07T02:43:06.398Z,2026-09-26T04:30:55.687Z
socks5,185.210.85.26,56981,socks5://185.210.85.26:56981,elite,false,809,827.5,47,34.8,518,185.210.85.26,1,ua,Kyiv Oblast,Mala Vilshanka,Europe/Kyiv,205673,Lanet Network Ltd,21,2025-09-05T20:06:31.396Z,2026-09-26T04:23:03.853Z
socks5,185.151.86.121,3699,socks5://185.151.86.121:3699,elite,false,7946,2209,12,19.2,282,31.128.249.254,1,ua,Cherkasy,Cherkasy,Europe/Kyiv,208139,FOP Avator Myhaylo Mykolayovych,18,2025-09-05T00:24:35.928Z,2026-09-26T04:24:59.630Z
http,78.26.146.16,443,http://78.26.146.16:443,elite,false,2933,4200.5,19,18.1,221,78.26.146.16,1,ua,Odesa,Odesa,Europe/Kyiv,34187,LLC Renome-Service,9,2025-09-06T10:19:30.623Z,2026-09-26T04:31:40.954Z
http,31.77.146.60,3128,http://31.77.146.60:3128,elite,false,680,834,40,,5,77.47.210.142,1,ua,Khmelnytskyi,Khmelnytskyi,Europe/Kyiv,3319,User Association of Ukrainian Research and Academic Network URAN,1,2026-09-26T03:46:24.909Z,2026-09-26T04:33:04.131Z
