protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
socks4,194.31.212.115,1080,socks4://194.31.212.115:1080,elite,false,3741,2723.5,74.3,64.5,882,194.31.212.115,1,ua,Kyiv Oblast,Irpin,Europe/Kyiv,209548,IrpenComunikaciaService LLC,12,2026-07-08T07:24:08.963Z,2026-09-19T04:24:12.072Z
socks4,185.244.158.4,3129,socks4://185.244.158.4:3129,elite,false,660,1193.5,75.7,63.6,752,185.244.158.4,1,ua,Kyiv City,Kyiv,Europe/Kyiv,41985,Stargroup LLC,20,2026-07-05T01:42:53.908Z,2026-09-19T04:24:52.158Z
socks4,91.247.92.63,5678,socks4://91.247.92.63:5678,elite,false,733,1201,60.8,61,857,91.247.92.63,1,ua,Kharkiv,Kharkiv,Europe/Kyiv,49389,Privately owned enterprise Alexsandrov Yuriy Viktorovich,12,2025-09-04T23:49:06.153Z,2026-09-19T04:22:36.132Z
socks4,46.107.230.122,1080,socks4://46.107.230.122:1080,elite,false,649,1203,67.9,52.6,793,46.107.230.122,1,ua,Zakarpattia,Rakoshyno,Europe/Kyiv,58098,Szatmarnet Bt.,11,2025-09-04T23:49:05.711Z,2026-09-19T04:23:23.013Z
socks4,81.162.249.129,4153,socks4://81.162.249.129:4153,elite,false,1795,1796.5,36.9,50.7,777,81.162.249.129,1,ua,Kyiv Oblast,Khotiv,Europe/Kyiv,44032,PP TRCCity TV center,20,2026-07-06T09:10:05.802Z,2026-09-19T04:27:33.618Z
socks4,46.98.193.59,5678,socks4://46.98.193.59:5678,elite,false,2033,2014,55.3,50.4,772,46.98.193.59,1,ua,Dnipropetrovsk,Dnipro,Europe/Kyiv,15377,TRADITIONAL LLC,12,2025-09-04T23:49:00.619Z,2026-09-19T04:22:46.449Z
socks4,193.105.62.11,58973,socks4://193.105.62.11:58973,elite,false,7981,2785,41.3,46.9,732,193.105.62.11,1,ua,Zhytomyr Oblast,Baranivka,Europe/Kyiv,196906,PE Brunarsky Andrey Romanovich,20,2025-09-04T23:49:01.402Z,2026-09-19T04:26:26.161Z
socks4,31.43.33.56,4153,socks4://31.43.33.56:4153,elite,false,4219,752,37.7,39.9,689,31.43.33.56,1,ua,Kyiv Oblast,Kaharlyk,Europe/Kyiv,50581,Ukrainian Telecommunication Group LLC,11,2025-09-04T23:48:55.223Z,2026-09-19T04:29:04.612Z
socks4,193.200.151.69,32777,socks4://193.200.151.69:32777,elite,false,744,1935.5,32.4,35.2,603,193.200.151.69,1,ua,Odesa,Rozdilna,Europe/Kyiv,42905,LIMANET Ltd.,11,2025-09-05T00:23:08.492Z,2026-09-19T04:23:29.183Z
socks4,195.200.245.132,1080,socks4://195.200.245.132:1080,elite,false,7828,2152.5,39.5,34.8,667,195.200.245.132,1,ua,Chernivtsi,Chernivtsi,Europe/Kyiv,50211,"PP ""IF-IX""",10,2026-07-08T15:28:23.067Z,2026-09-19T04:31:10.784Z
socks4,95.182.78.2,5678,socks4://95.182.78.2:5678,elite,false,804,1242.5,12,8,150,95.182.78.32,1,ua,Volyn,Kovel,Europe/Kyiv,50648,PE UAinet,17,2025-09-04T23:48:53.298Z,2026-09-19T04:26:00.895Z
