protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,34.44.49.215,80,http://34.44.49.215:80,elite,false,187,143,100,100,716,34.45.97.62,1,us,Iowa,Council Bluffs,America/Chicago,396982,Google LLC,12,2025-12-06T20:03:28.891Z,2026-09-15T19:34:17.319Z
socks4,70.166.65.160,4145,socks4://70.166.65.160:4145,elite,false,416,433.5,100,100,715,70.166.65.160,2,us,Virginia,Fairfax,America/New_York,22773,Cox Communications Inc.,5,2025-09-04T23:50:06.561Z,2026-09-15T19:32:35.865Z
socks4,98.170.57.241,4145,socks4://98.170.57.241:4145,elite,false,417,434,100,100,711,98.170.57.241,2,us,Virginia,Fort Hunt,America/New_York,22773,Cox Communications Inc.,9,2025-09-10T19:35:15.618Z,2026-09-15T19:33:28.203Z
socks4,184.181.217.201,4145,socks4://184.181.217.201:4145,elite,false,419,441.5,100,100,718,184.181.217.201,2,us,Arizona,Goodyear,America/Phoenix,22773,Cox Communications Inc.,15,2025-09-10T19:34:13.995Z,2026-09-15T19:31:16.603Z
socks4,174.64.199.82,4145,socks4://174.64.199.82:4145,elite,false,422,438.5,100,100,715,174.64.199.82,2,us,Oklahoma,Oklahoma City,America/Chicago,22773,Cox Communications Inc.,11,2025-09-10T19:34:13.790Z,2026-09-15T19:35:39.128Z
socks4,184.178.172.26,4145,socks4://184.178.172.26:4145,elite,false,424,431,100,100,713,184.178.172.26,2,us,Virginia,Roanoke,America/New_York,22773,Cox Communications Inc.,9,2025-09-10T19:34:14.202Z,2026-09-15T19:34:39.102Z
socks4,69.61.200.104,36181,socks4://69.61.200.104:36181,elite,false,426,507,100,100,713,69.61.200.104,2,us,Ohio,Cincinnati,America/New_York,6181,Cincinnati Bell Telephone Company LLC,1,2026-03-17T17:23:31.207Z,2026-09-15T19:33:04.460Z
socks4,72.207.33.64,4145,socks4://72.207.33.64:4145,elite,false,426,434,100,100,712,72.207.33.64,2,us,California,San Diego,America/Los_Angeles,22773,Cox Communications Inc.,12,2025-09-04T23:50:08.402Z,2026-09-15T19:32:05.530Z
socks4,66.42.224.229,41679,socks4://66.42.224.229:41679,elite,false,427,470,100,100,714,66.42.224.229,2,us,Ohio,Cincinnati,America/New_York,6181,Cincinnati Bell Telephone Company LLC,12,2025-09-10T19:34:11.320Z,2026-09-15T19:34:05.681Z
socks4,72.195.34.59,4145,socks4://72.195.34.59:4145,elite,false,430,433.5,100,100,714,72.195.34.59,2,us,California,Irvine,America/Los_Angeles,22773,Cox Communications Inc.,12,2025-09-10T19:34:11.990Z,2026-09-15T19:30:48.366Z
socks4,72.223.188.67,4145,socks4://72.223.188.67:4145,elite,false,430,437.5,100,100,715,72.223.188.67,2,us,Georgia,Atlanta,America/New_York,22773,Cox Communications Inc.,7,2025-09-04T23:50:08.394Z,2026-09-15T19:34:50.877Z
socks4,174.75.211.222,4145,socks4://174.75.211.222:4145,elite,false,433,438.5,100,100,714,174.75.211.222,2,us,Louisiana,Donaldsonville,America/Chicago,22773,Cox Communications Inc.,9,2025-09-10T19:33:53.633Z,2026-09-15T19:32:45.601Z
socks4,98.191.0.47,4145,socks4://98.191.0.47:4145,elite,false,435,451,100,100,716,98.191.0.47,2,us,Virginia,Chesapeake,America/New_York,22773,Cox Communications Inc.,12,2025-09-04T23:50:08.403Z,2026-09-15T19:35:31.318Z
socks4,70.166.167.38,57728,socks4://70.166.167.38:57728,elite,false,436,436.5,100,100,713,70.166.167.38,2,us,Arizona,Peoria,America/Phoenix,22773,Cox Communications Inc.,8,2025-09-10T19:33:56.656Z,2026-09-15T19:29:04.131Z
socks4,72.195.34.58,4145,socks4://72.195.34.58:4145,elite,false,436,433.5,100,100,715,72.195.34.58,2,us,California,Irvine,America/Los_Angeles,22773,Cox Communications Inc.,8,2025-09-10T19:34:14.920Z,2026-09-15T19:32:02.966Z
socks4,184.178.172.17,4145,socks4://184.178.172.17:4145,elite,false,438,444,100,100,716,184.178.172.17,2,us,Virginia,Roanoke,America/New_York,22773,Cox Communications Inc.,1,2026-03-17T17:23:29.327Z,2026-09-15T19:31:13.951Z
