protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,143.246.138.227,80,http://143.246.138.227:80,elite,false,135,142.5,100,100,272,104.28.247.136,1,us,New York,New York City,America/New_York,13335,"Cloudflare, Inc.",3,2026-09-20T06:51:42.491Z,2026-09-22T04:29:46.507Z
http,23.228.86.236,8081,http://23.228.86.236:8081,transparent,false,212,218.5,100,100,1002,67.203.23.79,3,us,California,Los Angeles,America/Los_Angeles,17252,Colocation America Corporation,17,2026-07-08T16:29:25.644Z,2026-09-22T04:27:35.713Z
http,12.50.107.222,80,http://12.50.107.222:80,anonymous,false,213,241,100,100,1004,12.50.107.222,1,us,Florida,Boca Raton,America/New_York,7018,"AT&T Enterprises, LLC",7,2025-12-06T22:05:54.411Z,2026-09-22T04:31:24.762Z
http,12.50.107.219,80,http://12.50.107.219:80,anonymous,false,229,233,100,100,1007,12.50.107.218,3,us,Florida,Boca Raton,America/New_York,7018,"AT&T Enterprises, LLC",7,2025-12-06T21:39:33.593Z,2026-09-22T04:32:27.538Z
http,67.203.23.79,8081,http://67.203.23.79:8081,transparent,false,231,230,100,100,1004,67.203.23.79,3,us,California,Los Angeles,America/Los_Angeles,17252,Colocation America Corporation,18,2026-07-25T14:02:58.515Z,2026-09-22T04:33:19.158Z
http,34.44.49.215,80,http://34.44.49.215:80,elite,false,305,126,100,100,1006,34.66.96.175,1,us,Iowa,Council Bluffs,America/Chicago,396982,Google LLC,1,2026-03-17T17:23:32.035Z,2026-09-22T04:32:24.813Z
http,69.87.216.54,7989,http://69.87.216.54:7989,elite,true,1224,218,100,100,1006,216.98.11.198,1,us,California,Santa Clara,America/Los_Angeles,6364,"Atlantic.net, Inc.",7,2026-07-06T03:59:08.250Z,2026-09-22T04:25:24.450Z
http,107.150.41.226,18080,http://107.150.41.226:18080,elite,true,103,62.5,100,99.9,1004,107.150.41.226,3,us,Missouri,Kansas City,America/Chicago,33387,"Nocix, LLC",14,2026-02-05T23:57:25.453Z,2026-09-22T04:27:04.090Z
http,47.85.161.37,3128,http://47.85.161.37:3128,elite,false,156,151,100,99.9,1006,47.85.161.37,1,us,Virginia,Virginia Beach,America/New_York,45102,"Alibaba (US) Technology Co., Ltd.",16,2026-08-06T02:31:55.420Z,2026-09-22T04:29:18.202Z
http,67.203.23.88,8081,http://67.203.23.88:8081,transparent,false,231,227,100,99.9,1001,67.203.23.79,3,us,California,Los Angeles,America/Los_Angeles,17252,Colocation America Corporation,18,2026-08-04T23:17:08.132Z,2026-09-22T04:29:41.205Z
http,12.50.107.217,80,http://12.50.107.217:80,anonymous,false,239,218.5,100,99.9,1005,12.50.107.219,1,us,Florida,Boca Raton,America/New_York,7018,"AT&T Enterprises, LLC",7,2025-12-06T21:38:59.672Z,2026-09-22T04:27:58.087Z
http,12.50.107.220,80,http://12.50.107.220:80,anonymous,false,245,211,100,99.8,1002,12.50.107.218,3,us,Florida,Boca Raton,America/New_York,7018,"AT&T Enterprises, LLC",7,2025-12-06T18:03:11.385Z,2026-09-22T04:27:42.110Z
http,12.50.107.221,80,http://12.50.107.221:80,anonymous,false,210,207.5,100,99.7,1004,12.50.107.218,3,us,Florida,Boca Raton,America/New_York,7018,"AT&T Enterprises, LLC",6,2025-12-06T21:38:58.405Z,2026-09-22T04:28:24.740Z
http,162.214.159.94,8085,http://162.214.159.94:8085,elite,false,427,436,96.3,99.3,995,162.214.74.29,2,us,Utah,Provo,America/Denver,46606,Unified Layer,18,2026-08-11T15:42:01.801Z,2026-09-22T04:26:19.632Z
http,162.214.74.29,8085,http://162.214.74.29:8085,elite,false,434,445.5,97.1,99.3,994,162.214.74.29,2,us,Utah,Provo,America/Denver,46606,Unified Layer,18,2026-08-11T15:42:01.792Z,2026-09-22T04:27:42.637Z
http,159.65.233.169,54321,http://159.65.233.169:54321,transparent,true,150,144,98.6,99.2,253,159.65.233.169,1,us,New Jersey,North Bergen,America/New_York,14061,"DigitalOcean, LLC",20,2026-09-20T09:52:49.347Z,2026-09-22T04:29:23.015Z
http,47.89.184.18,3128,http://47.89.184.18:3128,transparent,false,247,657.5,97.8,99,988,47.89.184.18,1,us,Virginia,Virginia Beach,America/New_York,45102,"Alibaba (US) Technology Co., Ltd.",1,2026-03-17T17:23:32.092Z,2026-09-22T04:28:36.639Z
http,142.93.202.130,3128,http://142.93.202.130:3128,transparent,false,148,134.5,98.6,96.9,958,142.93.202.130,1,us,New Jersey,North Bergen,America/New_York,14061,"DigitalOcean, LLC",18,2025-09-10T22:05:26.626Z,2026-09-22T04:29:41.734Z
http,159.65.245.255,80,http://159.65.245.255:80,elite,false,143,177.5,88.5,91.3,904,159.65.245.255,1,us,New Jersey,Clifton,America/New_York,14061,"DigitalOcean, LLC",11,2025-09-10T19:35:02.887Z,2026-09-22T04:31:13.090Z
