protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,190.97.236.130,999,http://190.97.236.130:999,transparent,true,1912,575.5,100,99.4,167,190.97.252.188,1,ve,Mérida,Mérida,America/Caracas,263703,VIGINET C.A,6,2025-09-06T23:23:19.036Z,2026-09-15T19:29:40.296Z
http,190.97.236.129,999,http://190.97.236.129:999,transparent,true,340,484.5,100,99.2,710,153.51.201.35,2,ve,Barinas,Ciudad Bolivia,America/Caracas,274849,"GLOBALNET S&P, C.A.",15,2026-08-15T17:35:57.015Z,2026-09-15T19:34:06.711Z
http,190.97.236.128,999,http://190.97.236.128:999,transparent,true,630,622.5,100,98.9,709,153.51.201.35,2,ve,Barinas,Ciudad Bolivia,America/Caracas,274849,"GLOBALNET S&P, C.A.",15,2026-08-15T17:35:41.994Z,2026-09-15T19:34:02.012Z
http,154.3.76.14,999,http://154.3.76.14:999,transparent,true,2981,1038,93.6,91.1,695,154.3.77.48,1,ve,Lara,Quíbor,America/Caracas,274255,"M&S.NET, C.A.",10,2026-09-03T11:51:44.833Z,2026-09-15T19:34:53.444Z
http,38.51.207.104,8080,http://38.51.207.104:8080,transparent,true,453,961.5,79.4,89.2,656,38.51.207.110,1,ve,Zulia,Maracaibo,America/Caracas,269730,TECNOVEN SERVICES CA,16,2026-09-09T02:45:33.082Z,2026-09-15T19:35:11.951Z
http,190.97.241.106,999,http://190.97.241.106:999,transparent,false,3627,2462,89.1,84.9,680,190.97.241.106,1,ve,Táchira,San Cristóbal,America/Caracas,263703,VIGINET C.A,17,2026-08-15T17:35:41.991Z,2026-09-15T19:28:08.723Z
http,154.59.56.72,999,http://154.59.56.72:999,transparent,false,3496,3651,76.6,73.3,663,154.59.56.73,3,ve,Distrito Federal,Caracas,America/Caracas,264778,TotalCom Venezuela C.A.,10,2026-08-28T10:33:14.919Z,2026-09-15T19:30:05.770Z
http,154.59.56.73,999,http://154.59.56.73:999,transparent,false,3697,3593.5,64.2,70.2,660,154.59.56.73,3,ve,Distrito Federal,Caracas,America/Caracas,264778,TotalCom Venezuela C.A.,9,2026-08-24T15:44:16.545Z,2026-09-15T19:26:23.614Z
http,154.59.56.78,999,http://154.59.56.78:999,transparent,false,5046,3759.5,67.7,69.7,650,154.59.56.73,3,ve,Distrito Federal,Caracas,America/Caracas,264778,TotalCom Venezuela C.A.,16,2026-08-28T13:35:16.324Z,2026-09-15T19:32:20.496Z
http,38.172.170.148,999,http://38.172.170.148:999,transparent,false,4538,4016,12.1,14.8,223,38.172.170.144,1,ve,Lara,Barquisimeto,America/Caracas,270026,"RED SERVITEL, CA",15,2026-07-27T14:29:59.633Z,2026-09-15T19:31:21.871Z
http,190.89.29.110,999,http://190.89.29.110:999,transparent,true,377,2884.5,80,,11,190.89.29.110,1,ve,Aragua,La Victoria,America/Caracas,264628,"CORPORACION FIBEX TELECOM, C.A.",5,2026-07-06T16:02:32.558Z,2026-09-15T19:26:20.000Z
