protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,153.51.201.35,999,http://153.51.201.35:999,transparent,true,446,425.5,99.3,99.7,312,153.51.201.35,3,ve,Barinas,Ciudad Bolivia,America/Caracas,274849,"GLOBALNET S&P, C.A.",19,2026-09-16T00:16:29.044Z,2026-09-18T04:27:07.646Z
http,190.97.236.129,999,http://190.97.236.129:999,transparent,true,579,612,98.6,99.1,1000,153.51.201.35,3,ve,Barinas,Ciudad Bolivia,America/Caracas,274849,"GLOBALNET S&P, C.A.",21,2026-08-15T17:35:57.015Z,2026-09-18T04:25:48.386Z
http,190.97.236.128,999,http://190.97.236.128:999,transparent,true,1357,1517,98.6,99.1,999,153.51.201.35,3,ve,Barinas,Ciudad Bolivia,America/Caracas,274849,"GLOBALNET S&P, C.A.",20,2026-08-15T17:35:41.994Z,2026-09-18T04:25:59.971Z
http,190.97.236.130,999,http://190.97.236.130:999,transparent,true,2550,606.5,87.5,93.5,385,190.97.252.188,1,ve,Mérida,Mérida,America/Caracas,263703,VIGINET C.A,12,2025-09-06T23:23:19.036Z,2026-09-18T04:25:54.478Z
http,38.51.207.104,8080,http://38.51.207.104:8080,transparent,true,376,993,97.9,91,936,38.51.207.110,1,ve,Zulia,Maracaibo,America/Caracas,269730,TECNOVEN SERVICES CA,20,2026-09-09T02:45:33.082Z,2026-09-18T04:25:36.993Z
http,154.3.76.14,999,http://154.3.76.14:999,transparent,true,2409,3825.5,72.1,87.1,945,154.3.77.0,2,ve,Lara,Quíbor,America/Caracas,274255,"M&S.NET, C.A.",13,2026-09-03T11:51:44.833Z,2026-09-18T04:29:46.441Z
http,190.97.241.106,999,http://190.97.241.106:999,transparent,false,2424,2343,86.9,86.1,961,190.97.241.106,1,ve,Táchira,San Cristóbal,America/Caracas,263703,VIGINET C.A,24,2026-08-15T17:35:41.991Z,2026-09-18T04:27:28.216Z
http,200.59.191.27,999,http://200.59.191.27:999,transparent,false,1585,3394.5,73.9,72.2,923,154.59.56.73,1,ve,Distrito Federal,Caracas,America/Caracas,264778,TotalCom Venezuela C.A.,17,2026-08-13T12:07:17.915Z,2026-09-18T04:28:11.205Z
http,186.167.113.97,999,http://186.167.113.97:999,transparent,false,495,2152,67,70.1,211,154.3.77.0,2,ve,Lara,Quíbor,America/Caracas,274255,"M&S.NET, C.A.",21,2026-09-16T10:21:49.051Z,2026-09-18T04:28:38.214Z
http,38.172.160.16,999,http://38.172.160.16:999,transparent,false,5616,4268,57.3,54.5,859,38.172.181.22,1,ve,Lara,Barquisimeto,America/Caracas,270026,"RED SERVITEL, CA",16,2025-11-22T16:10:10.829Z,2026-09-18T04:27:53.694Z
http,38.172.170.104,999,http://38.172.170.104:999,transparent,false,5639,1596,39.7,37.4,83,38.172.170.107,1,ve,Lara,Barquisimeto,America/Caracas,270026,"RED SERVITEL, CA",10,2026-08-28T09:32:46.303Z,2026-09-18T04:29:48.657Z
http,200.90.52.154,999,http://200.90.52.154:999,transparent,true,496,1825.5,49.5,35.1,214,45.187.5.68,1,ve,Bolívar,Ciudad Guayana,America/Caracas,269846,"T.V ZAMORA, C.A.",5,2025-09-08T03:28:28.688Z,2026-09-18T04:31:46.965Z
http,38.51.207.118,999,http://38.51.207.118:999,transparent,false,7041,4543.5,20.7,26.3,505,38.51.207.118,1,ve,Zulia,Maracaibo,America/Caracas,269730,TECNOVEN SERVICES CA,22,2026-08-10T20:32:32.174Z,2026-09-18T04:23:34.669Z
http,190.202.13.218,999,http://190.202.13.218:999,transparent,false,8463,3617,12.5,13.7,183,186.167.29.66,1,ve,Carabobo,Valencia,America/Caracas,27717,Corporacion Digitel C.A.,14,2026-07-05T18:51:28.885Z,2026-09-18T04:29:46.496Z
