protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,103.102.131.30,3128,http://103.102.131.30:3128,anonymous,true,1007,969.5,97.2,97.3,149,103.102.131.30,1,vn,Hanoi,Hanoi,Asia/Bangkok,149139,VGP JOINT STOCK COMPANY,19,2026-09-17T03:30:44.651Z,2026-09-18T04:29:29.365Z
socks5,103.162.30.189,10808,socks5://103.162.30.189:10808,elite,true,2777,2836,96.3,95.9,808,103.162.30.189,1,vn,Hanoi,Hanoi,Asia/Bangkok,135967,Bach Kim Network solutions Join stock company,17,2026-09-12T10:12:48.395Z,2026-09-18T04:23:04.130Z
http,210.211.113.34,80,http://210.211.113.34:80,transparent,true,1159,2747.5,87.4,90.7,963,210.211.113.34,1,vn,Ho Chi Minh City (HCMC),Ho Chi Minh City,Asia/Ho_Chi_Minh,38731,Vietel - CHT Compamy Ltd,15,2026-08-24T19:48:39.800Z,2026-09-18T04:24:08.713Z
http,210.211.113.36,80,http://210.211.113.36:80,transparent,false,5239,2701,86.1,87.8,947,210.211.113.36,1,vn,Ho Chi Minh City (HCMC),Ho Chi Minh City,Asia/Ho_Chi_Minh,38731,Vietel - CHT Compamy Ltd,15,2026-08-24T21:47:30.711Z,2026-09-18T04:24:41.782Z
http,210.211.113.33,80,http://210.211.113.33:80,transparent,true,5837,2965.5,76.7,83.7,938,210.211.113.33,1,vn,Ho Chi Minh City (HCMC),Ho Chi Minh City,Asia/Ho_Chi_Minh,38731,Vietel - CHT Compamy Ltd,23,2026-08-24T21:48:47.849Z,2026-09-18T04:23:37.777Z
http,210.211.113.37,80,http://210.211.113.37:80,transparent,true,1935,2437,78.2,83,936,210.211.113.37,1,vn,Ho Chi Minh City (HCMC),Ho Chi Minh City,Asia/Ho_Chi_Minh,38731,Vietel - CHT Compamy Ltd,21,2026-08-24T19:47:40.784Z,2026-09-18T04:27:44.726Z
http,14.161.10.46,80,http://14.161.10.46:80,anonymous,false,1401,1453,71.6,81.4,939,115.79.34.107,1,vn,Ho Chi Minh City (HCMC),Ho Chi Minh City,Asia/Ho_Chi_Minh,7552,Viettel Group,18,2026-08-22T21:21:42.294Z,2026-09-18T04:31:29.964Z
http,210.211.113.35,80,http://210.211.113.35:80,transparent,false,2212,2443,75.6,78.9,927,210.211.113.35,1,vn,Ho Chi Minh City (HCMC),Ho Chi Minh City,Asia/Ho_Chi_Minh,38731,Vietel - CHT Compamy Ltd,22,2026-08-24T19:47:40.557Z,2026-09-18T04:25:53.914Z
socks4,171.247.84.223,1080,socks4://171.247.84.223:1080,elite,false,2277,2281,70.5,75.4,467,171.247.84.223,1,vn,Dong Nai,Biên Hòa,Asia/Ho_Chi_Minh,7552,Viettel Group,19,2026-09-14T12:39:16.593Z,2026-09-18T04:22:00.107Z
http,1.53.202.56,8118,http://1.53.202.56:8118,elite,true,1049,924.5,61.7,61.7,120,1.53.202.56,1,vn,Thừa Thiên Huế Province,Hương Thủy,Asia/Ho_Chi_Minh,18403,FPT Telecom Company,19,2026-09-17T03:30:49.935Z,2026-09-18T04:25:45.328Z
socks4,171.242.14.54,1080,socks4://171.242.14.54:1080,elite,false,1225,1300,51.5,59.4,630,171.242.14.54,1,vn,Thai Nguyen,Thái Nguyên,Asia/Bangkok,7552,Viettel Group,20,2026-07-07T19:15:34.267Z,2026-09-18T04:27:13.787Z
socks4,117.4.26.246,1080,socks4://117.4.26.246:1080,elite,false,2256,4252,62.4,57.4,854,117.4.26.246,1,vn,Sơn La Province,Thị Trấn Thuận Châu,Asia/Ho_Chi_Minh,7552,Viettel Group,20,2026-07-07T02:06:01.501Z,2026-09-18T04:23:02.565Z
socks4,118.71.99.233,5678,socks4://118.71.99.233:5678,elite,false,1829,1483,52,54.2,871,42.112.208.148,1,vn,Hanoi,Hanoi,Asia/Bangkok,18403,FPT Telecom Company,21,2025-09-04T23:48:54.174Z,2026-09-18T04:31:01.431Z
http,163.181.207.213,9999,http://163.181.207.213:9999,elite,false,1261,1116,58.5,51.9,831,163.181.207.213,1,vn,Ho Chi Minh City (HCMC),Ho Chi Minh City,Asia/Ho_Chi_Minh,24429,"Zhejiang Taobao Network Co.,Ltd",23,2026-08-06T15:37:49.688Z,2026-09-18T04:23:13.369Z
http,163.181.207.167,9999,http://163.181.207.167:9999,elite,false,1062,1127,62.4,48.8,813,163.181.207.167,1,vn,Ho Chi Minh City (HCMC),Ho Chi Minh City,Asia/Ho_Chi_Minh,24429,"Zhejiang Taobao Network Co.,Ltd",22,2026-08-06T15:37:49.815Z,2026-09-18T04:29:46.413Z
socks5,45.74.31.40,4918,socks5://45.74.31.40:4918,elite,false,6024,5261,46.3,45.5,121,103.74.116.219,11,vn,Ho Chi Minh City (HCMC),Ho Chi Minh City,Asia/Ho_Chi_Minh,63759,TaDu Joint Stock Company,15,2026-09-16T03:18:05.440Z,2026-09-18T04:27:14.867Z
http,103.82.20.76,8080,http://103.82.20.76:8080,elite,true,1424,1884,57.6,44.6,370,27.79.56.215,1,vn,Dak Lak,Buôn Ma Thuột,Asia/Ho_Chi_Minh,7552,Viettel Group,21,2026-07-03T00:15:40.783Z,2026-09-18T04:30:46.830Z
socks5,45.74.31.22,4471,socks5://45.74.31.22:4471,elite,true,3360,3715.5,40,41.5,118,103.74.116.219,11,vn,Ho Chi Minh City (HCMC),Ho Chi Minh City,Asia/Ho_Chi_Minh,63759,TaDu Joint Stock Company,15,2026-09-16T03:18:05.440Z,2026-09-18T04:26:40.821Z
socks5,45.74.31.40,5097,socks5://45.74.31.40:5097,elite,false,2449,5194,39.1,41.3,184,103.74.116.219,11,vn,Ho Chi Minh City (HCMC),Ho Chi Minh City,Asia/Ho_Chi_Minh,63759,TaDu Joint Stock Company,15,2026-09-16T06:19:41.101Z,2026-09-18T04:22:45.428Z
socks5,45.74.31.41,5122,socks5://45.74.31.41:5122,elite,false,4070,4382,35.3,38.6,101,103.74.116.219,11,vn,Ho Chi Minh City (HCMC),Ho Chi Minh City,Asia/Ho_Chi_Minh,63759,TaDu Joint Stock Company,14,2026-09-16T03:18:05.440Z,2026-09-18T04:23:45.940Z
socks5,45.74.31.50,4322,socks5://45.74.31.50:4322,elite,false,5821,5293,24.6,34,147,103.74.116.219,11,vn,Ho Chi Minh City (HCMC),Ho Chi Minh City,Asia/Ho_Chi_Minh,63759,TaDu Joint Stock Company,14,2026-09-16T03:18:05.440Z,2026-09-18T04:30:27.489Z
socks5,45.74.31.22,4856,socks5://45.74.31.22:4856,elite,true,3920,4734.5,28.6,31.3,160,103.74.116.219,11,vn,Ho Chi Minh City (HCMC),Ho Chi Minh City,Asia/Ho_Chi_Minh,63759,TaDu Joint Stock Company,12,2026-09-16T03:18:05.440Z,2026-09-18T04:24:19.987Z
socks5,45.74.31.22,4016,socks5://45.74.31.22:4016,elite,true,5042,5245.5,22.2,29.3,106,103.74.116.219,11,vn,Ho Chi Minh City (HCMC),Ho Chi Minh City,Asia/Ho_Chi_Minh,63759,TaDu Joint Stock Company,14,2026-09-16T08:20:43.726Z,2026-09-18T04:27:03.025Z
socks5,45.74.31.50,11053,socks5://45.74.31.50:11053,elite,true,6471,7437,11.1,28.4,88,160.250.130.168,1,vn,Ho Chi Minh City (HCMC),Ho Chi Minh City,Asia/Ho_Chi_Minh,135918,VIET DIGITAL TECHNOLOGY LIABILITY COMPANY,15,2026-09-16T03:18:05.440Z,2026-09-18T04:25:24.064Z
socks4,157.66.26.151,1080,socks4://157.66.26.151:1080,elite,false,5498,3975.5,37.9,24.5,400,157.66.26.151,1,vn,Hanoi,Hanoi,Asia/Bangkok,149107,TRUMVPS COMPANY LIMITED,1,2026-03-17T17:23:29.473Z,2026-09-18T04:23:32.586Z
socks5,45.74.31.50,13831,socks5://45.74.31.50:13831,elite,true,2666,4358,23.1,20,80,103.74.116.219,11,vn,Ho Chi Minh City (HCMC),Ho Chi Minh City,Asia/Ho_Chi_Minh,63759,TaDu Joint Stock Company,13,2026-09-14T01:33:34.625Z,2026-09-18T04:26:27.849Z
socks5,45.74.31.30,38408,socks5://45.74.31.30:38408,elite,true,1780,3327.5,34.6,19.2,73,103.74.116.219,11,vn,Ho Chi Minh City (HCMC),Ho Chi Minh City,Asia/Ho_Chi_Minh,63759,TaDu Joint Stock Company,9,2026-09-09T05:47:10.762Z,2026-09-18T04:24:04.033Z
http,203.205.49.2,10182,http://203.205.49.2:10182,elite,false,3493,1762.5,49.1,19,269,203.205.49.185,1,vn,Da Nang City,Da Nang,Asia/Ho_Chi_Minh,45903,CMC Telecom Infrastructure Company,15,2026-09-07T19:29:08.835Z,2026-09-18T04:28:06.590Z
socks5,45.74.31.42,13413,socks5://45.74.31.42:13413,elite,true,6048,5265.5,23.8,18.5,249,123.31.38.154,2,vn,Hanoi,Hanoi,Asia/Bangkok,135905,VIETNAM POSTS AND TELECOMMUNICATIONS GROUP,14,2026-09-11T13:01:39.539Z,2026-09-18T04:28:56.930Z
socks5,45.74.31.42,5734,socks5://45.74.31.42:5734,elite,false,9884,4823,12.5,17.1,176,103.74.116.219,11,vn,Ho Chi Minh City (HCMC),Ho Chi Minh City,Asia/Ho_Chi_Minh,63759,TaDu Joint Stock Company,15,2026-09-08T13:38:28.909Z,2026-09-18T04:22:35.753Z
socks5,45.74.31.42,13032,socks5://45.74.31.42:13032,elite,false,4262,4017.5,10,16.1,162,123.31.38.154,2,vn,Hanoi,Hanoi,Asia/Bangkok,135905,VIETNAM POSTS AND TELECOMMUNICATIONS GROUP,12,2026-09-11T20:05:21.826Z,2026-09-18T04:28:35.516Z
http,203.205.49.2,10222,http://203.205.49.2:10222,elite,false,8387,4113.5,25,9,111,203.205.49.225,1,vn,Da Nang City,Da Nang,Asia/Ho_Chi_Minh,45903,CMC Telecom Infrastructure Company,15,2026-09-09T03:47:36.976Z,2026-09-18T04:32:08.717Z
http,203.205.49.2,10030,http://203.205.49.2:10030,elite,true,1128,3876,11.1,3.8,79,203.205.49.33,1,vn,Da Nang City,Da Nang,Asia/Ho_Chi_Minh,45903,CMC Telecom Infrastructure Company,7,2026-04-06T00:30:45.656Z,2026-09-18T04:31:35.280Z
http,42.113.52.93,8888,http://42.113.52.93:8888,elite,false,998,1021,100,,5,42.113.52.161,1,vn,Vinh Long,Bến Tre,Asia/Ho_Chi_Minh,18403,FPT Telecom Company,1,2026-09-18T03:43:37.482Z,2026-09-18T04:23:34.671Z
http,203.205.49.2,10192,http://203.205.49.2:10192,elite,false,1117,1251,32.4,,34,203.205.49.195,1,vn,Hanoi,Hanoi,Asia/Bangkok,45903,CMC Telecom Infrastructure Company,4,2026-09-17T16:37:52.421Z,2026-09-18T04:28:57.447Z
http,203.205.49.2,10053,http://203.205.49.2:10053,elite,true,2293,4315,50,,11,203.205.49.56,1,vn,Ho Chi Minh City (HCMC),Ho Chi Minh City,Asia/Ho_Chi_Minh,45903,CMC Telecom Infrastructure Company,4,2026-03-27T03:23:50.171Z,2026-09-18T04:31:08.797Z
socks5,45.74.31.41,4030,socks5://45.74.31.41:4030,elite,false,5322,5062,59.3,,27,103.74.116.219,11,vn,Ho Chi Minh City (HCMC),Ho Chi Minh City,Asia/Ho_Chi_Minh,63759,TaDu Joint Stock Company,1,2026-09-17T21:40:22.826Z,2026-09-18T04:22:52.604Z
