protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,103.77.173.125,9486,http://103.77.173.125:9486,transparent,true,1087,1427.5,99,99,97,103.77.173.125,1,vn,Hanoi,Hanoi,Asia/Bangkok,140810,Megacore Technology Company Limited,10,2026-07-04T23:41:43.331Z,2026-09-19T04:28:38.315Z
http,171.244.199.151,1337,http://171.244.199.151:1337,elite,true,1137,1236.5,98.6,98.6,138,171.244.199.151,3,vn,Hanoi,Hanoi,Asia/Bangkok,38731,Vietel - CHT Compamy Ltd,20,2026-09-18T04:44:05.302Z,2026-09-19T04:26:10.320Z
http,103.102.131.30,3128,http://103.102.131.30:3128,anonymous,true,7758,1870,91.7,94.6,280,103.102.131.30,1,vn,Hanoi,Hanoi,Asia/Bangkok,149139,VGP JOINT STOCK COMPANY,22,2026-09-17T03:30:44.651Z,2026-09-19T04:24:42.042Z
http,210.211.113.34,80,http://210.211.113.34:80,transparent,true,2888,2729,91.6,90.6,953,210.211.113.34,1,vn,Ho Chi Minh City (HCMC),Ho Chi Minh City,Asia/Ho_Chi_Minh,38731,Vietel - CHT Compamy Ltd,15,2026-08-24T19:48:39.800Z,2026-09-19T04:23:15.021Z
http,210.211.113.33,80,http://210.211.113.33:80,transparent,true,2167,2257.5,81.7,83,918,210.211.113.33,1,vn,Ho Chi Minh City (HCMC),Ho Chi Minh City,Asia/Ho_Chi_Minh,38731,Vietel - CHT Compamy Ltd,23,2026-08-24T21:48:47.849Z,2026-09-19T04:25:00.648Z
http,210.211.113.37,80,http://210.211.113.37:80,transparent,false,1046,1922.5,77.3,82.1,910,210.211.113.37,1,vn,Ho Chi Minh City (HCMC),Ho Chi Minh City,Asia/Ho_Chi_Minh,38731,Vietel - CHT Compamy Ltd,21,2026-08-24T19:47:40.784Z,2026-09-19T04:30:56.134Z
http,14.161.10.46,80,http://14.161.10.46:80,anonymous,false,1887,1182,86.1,81.5,921,115.79.34.107,1,vn,Ho Chi Minh City (HCMC),Ho Chi Minh City,Asia/Ho_Chi_Minh,7552,Viettel Group,18,2026-08-22T21:21:42.294Z,2026-09-19T04:22:26.726Z
http,163.181.207.213,9999,http://163.181.207.213:9999,elite,true,1371,1128,41.9,52.9,779,163.181.207.213,1,vn,Ho Chi Minh City (HCMC),Ho Chi Minh City,Asia/Ho_Chi_Minh,24429,"Zhejiang Taobao Network Co.,Ltd",23,2026-08-06T15:37:49.688Z,2026-09-19T04:29:58.841Z
http,43.109.48.179,9999,http://43.109.48.179:9999,elite,false,1145,1145,39,45.1,781,43.109.48.179,1,vn,Ho Chi Minh City (HCMC),Ho Chi Minh City,Asia/Ho_Chi_Minh,24429,"Zhejiang Taobao Network Co.,Ltd",22,2026-08-10T02:22:47.219Z,2026-09-19T04:24:19.922Z
http,163.181.207.169,9999,http://163.181.207.169:9999,elite,true,1127,1110.5,43,44.3,709,163.181.207.169,1,vn,Ho Chi Minh City (HCMC),Ho Chi Minh City,Asia/Ho_Chi_Minh,24429,"Zhejiang Taobao Network Co.,Ltd",21,2026-08-06T14:37:24.157Z,2026-09-19T04:28:09.609Z
http,163.181.207.226,9999,http://163.181.207.226:9999,elite,true,1136,1113.5,48.9,42.4,715,163.181.207.226,1,vn,Ho Chi Minh City (HCMC),Ho Chi Minh City,Asia/Ho_Chi_Minh,24429,"Zhejiang Taobao Network Co.,Ltd",21,2026-08-06T14:37:24.111Z,2026-09-19T04:23:03.207Z
http,163.181.207.227,9999,http://163.181.207.227:9999,elite,true,1038,1112,39.7,37.7,652,163.181.207.227,1,vn,Ho Chi Minh City (HCMC),Ho Chi Minh City,Asia/Ho_Chi_Minh,24429,"Zhejiang Taobao Network Co.,Ltd",20,2026-08-06T14:36:14.728Z,2026-09-19T04:29:16.118Z
http,203.205.49.2,10220,http://203.205.49.2:10220,elite,false,1169,2801.5,25.9,16.7,84,203.205.49.223,1,vn,Hanoi,Ô Chợ Dừa,Asia/Ho_Chi_Minh,45903,CMC Telecom Infrastructure Company,20,2026-09-16T18:26:09.297Z,2026-09-19T04:22:46.990Z
http,183.80.201.42,8080,http://183.80.201.42:8080,transparent,false,4817,3244,62.5,,8,42.113.31.51,1,vn,Ho Chi Minh City (HCMC),Ho Chi Minh City,Asia/Ho_Chi_Minh,18403,FPT Telecom Company,3,2026-09-19T02:36:24.799Z,2026-09-19T04:25:33.422Z
http,14.172.88.146,8080,http://14.172.88.146:8080,elite,false,7355,3231,62.5,,8,115.73.35.130,1,vn,An Giang,Rạch Giá,Asia/Ho_Chi_Minh,7552,Viettel Group,2,2026-09-19T02:36:24.799Z,2026-09-19T04:29:03.505Z
