protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
socks4,160.187.0.89,1080,socks4://160.187.0.89:1080,elite,true,1261,1250,97,76.3,400,160.187.0.89,2,vn,Hanoi,Hanoi,Asia/Bangkok,152992,ONLINE DATA COMPANY LIMITED,15,2026-09-20T03:49:38.188Z,2026-09-26T04:32:44.539Z
socks4,117.4.26.246,1080,socks4://117.4.26.246:1080,elite,false,1264,1741.5,40.7,56.9,675,117.4.26.246,1,vn,Sơn La Province,Thị Trấn Thuận Châu,Asia/Ho_Chi_Minh,7552,Viettel Group,21,2026-07-07T02:06:01.501Z,2026-09-26T04:26:09.101Z
socks4,118.70.212.110,60606,socks4://118.70.212.110:60606,elite,false,9631,4147.5,13.6,33.3,418,118.70.212.110,1,vn,Hanoi,Hanoi,Asia/Bangkok,18403,FPT Telecom Company,11,2025-09-04T23:49:12.851Z,2026-09-26T04:29:57.652Z
socks4,157.66.26.151,1080,socks4://157.66.26.151:1080,elite,false,9408,4735.5,33.9,29.6,412,157.66.26.151,1,vn,Hanoi,Hanoi,Asia/Bangkok,149107,TRUMVPS COMPANY LIMITED,11,2025-10-24T00:33:50.134Z,2026-09-26T04:30:12.082Z
socks4,183.80.130.10,4145,socks4://183.80.130.10:4145,elite,false,1149,1656,33.3,27.5,403,183.80.130.9,1,vn,Hanoi,Hanoi,Asia/Bangkok,18403,FPT Telecom Company,21,2025-09-04T23:48:54.662Z,2026-09-26T04:24:08.814Z
socks4,101.96.117.169,1080,socks4://101.96.117.169:1080,elite,true,1167,1823.5,18.4,22.2,365,101.96.117.164,1,vn,Hanoi,Hanoi,Asia/Bangkok,24173,Netnam Company,12,2025-09-04T23:01:44.262Z,2026-09-26T04:31:43.624Z
socks4,116.101.76.225,1081,socks4://116.101.76.225:1081,elite,true,1268,1437,100,,29,171.224.210.159,2,vn,Thanh Hóa Province,Thanh Hóa,Asia/Bangkok,7552,Viettel Group,7,2026-09-25T23:44:28.082Z,2026-09-26T04:32:49.852Z
socks4,116.111.44.189,1080,socks4://116.111.44.189:1080,elite,false,1289,1291,60,,5,116.111.44.189,1,vn,Nghệ An Province,Vinh,Asia/Bangkok,7552,Viettel Group,3,2026-09-26T03:46:27.325Z,2026-09-26T04:31:11.178Z
socks4,171.247.97.74,1080,socks4://171.247.97.74:1080,elite,false,1377,1397.5,57.1,,42,171.247.97.74,1,vn,Dong Thap,Mỹ Tho,Asia/Ho_Chi_Minh,7552,Viettel Group,9,2026-09-25T20:42:49.751Z,2026-09-26T04:26:36.629Z
socks4,171.247.96.98,1080,socks4://171.247.96.98:1080,elite,false,1399,1397.5,52.2,,46,171.247.96.98,1,vn,Dong Thap,Gò Công,Asia/Ho_Chi_Minh,7552,Viettel Group,8,2026-09-25T20:42:45.534Z,2026-09-26T04:27:20.669Z
