protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
socks4,105.27.180.194,1080,socks4://105.27.180.194:1080,elite,false,4222,1256,73,69.9,652,105.27.180.194,1,za,Gauteng,Johannesburg,Africa/Johannesburg,37100,SEACOM Limited,9,2026-02-08T01:22:48.172Z,2026-09-15T19:27:44.962Z
socks4,105.30.248.241,1080,socks4://105.30.248.241:1080,elite,false,1412,2445.5,76.5,67.8,652,105.23.242.198,1,za,KwaZulu-Natal,Durban,Africa/Johannesburg,37100,SEACOM Limited,11,2026-07-05T02:41:00.284Z,2026-09-15T19:32:14.116Z
socks4,102.215.245.6,4153,socks4://102.215.245.6:4153,elite,false,1236,1250,56.8,56.4,622,102.215.245.6,1,za,Gauteng,Johannesburg,Africa/Johannesburg,329058,INFINITY CONNECT (PTY) LTD,9,2026-07-04T23:41:39.889Z,2026-09-15T19:29:07.266Z
socks4,105.214.105.25,5678,socks4://105.214.105.25:5678,elite,false,2081,2211,54.7,51.7,91,105.214.105.25,1,za,Gauteng,Johannesburg,Africa/Johannesburg,16637,MTN SA,13,2026-09-10T22:54:13.169Z,2026-09-15T19:28:36.778Z
socks4,213.150.221.198,4153,socks4://213.150.221.198:4153,elite,false,2409,1748,50,51.4,609,41.79.222.90,1,za,Gauteng,Johannesburg,Africa/Johannesburg,327794,Clear Access (Pty) Ltd,10,2025-09-04T23:49:06.644Z,2026-09-15T19:35:31.308Z
socks4,160.226.220.30,1080,socks4://160.226.220.30:1080,elite,false,2252,2310,51.2,51.1,595,160.226.220.30,1,za,Free State,Bloemfontein,Africa/Johannesburg,37542,Iclix (PTY) Ltd,6,2026-07-04T15:36:58.878Z,2026-09-15T19:33:27.181Z
socks5,45.74.31.50,10478,socks5://45.74.31.50:10478,elite,true,5097,2639.5,49.1,49.1,55,154.0.172.222,6,za,Gauteng,Johannesburg,Africa/Johannesburg,37611,AFRIHOST SP (PTY) LTD,8,2026-09-15T03:47:12.852Z,2026-09-15T19:26:31.490Z
socks4,196.216.133.18,1080,socks4://196.216.133.18:1080,elite,false,1547,2082.5,48.7,46.3,521,196.216.133.18,1,za,North West,Ventersdorp,Africa/Johannesburg,328471,HERO TELECOMS (PTY) LTD,6,2025-09-05T20:06:36.654Z,2026-09-15T19:29:35.078Z
socks5,45.74.31.42,12720,socks5://45.74.31.42:12720,elite,false,6463,5763.5,39.2,39.2,79,154.0.172.222,6,za,Gauteng,Johannesburg,Africa/Johannesburg,37611,AFRIHOST SP (PTY) LTD,9,2026-09-15T03:47:12.852Z,2026-09-15T19:30:20.866Z
socks4,102.39.156.82,1080,socks4://102.39.156.82:1080,elite,false,1202,1701.5,44.7,37.4,313,102.39.156.82,1,za,Western Cape,Cape Town,Africa/Johannesburg,11845,Vox Telecom Ltd,12,2026-09-10T22:54:17.477Z,2026-09-15T19:34:00.459Z
socks5,45.74.31.41,12725,socks5://45.74.31.41:12725,elite,false,7245,5274.5,33.9,33.9,62,154.0.172.222,6,za,Gauteng,Johannesburg,Africa/Johannesburg,37611,AFRIHOST SP (PTY) LTD,10,2026-09-15T03:47:12.852Z,2026-09-15T19:28:24.382Z
http,41.57.63.1,8104,http://41.57.63.1:8104,transparent,false,5351,5254.5,36,26.4,292,41.57.63.1,1,za,Gauteng,Johannesburg,Africa/Johannesburg,327688,Screamer Telecommunications,10,2026-05-10T21:59:44.038Z,2026-09-15T19:24:47.732Z
socks5,45.74.31.30,10650,socks5://45.74.31.30:10650,elite,true,4568,4548,7.7,21.3,136,154.0.172.222,6,za,Gauteng,Johannesburg,Africa/Johannesburg,37611,AFRIHOST SP (PTY) LTD,9,2026-08-28T09:32:44.897Z,2026-09-15T19:34:17.915Z
socks5,45.74.31.41,11844,socks5://45.74.31.41:11844,elite,false,2331,3870.5,68.2,,22,154.0.172.222,6,za,Gauteng,Johannesburg,Africa/Johannesburg,37611,AFRIHOST SP (PTY) LTD,8,2026-09-15T15:53:37.000Z,2026-09-15T19:26:36.207Z
socks5,45.74.31.50,11540,socks5://45.74.31.50:11540,elite,true,4541,3911,37.8,,45,154.0.172.222,6,za,Gauteng,Johannesburg,Africa/Johannesburg,37611,AFRIHOST SP (PTY) LTD,10,2026-09-15T05:48:19.633Z,2026-09-15T19:24:57.092Z
