protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
socks4,105.214.51.155,5678,socks4://105.214.51.155:5678,elite,true,1355,2363.5,68.6,75.8,806,105.214.51.155,1,za,Gauteng,Johannesburg,Africa/Johannesburg,16637,MTN SA,21,2026-09-18T17:31:39.862Z,2026-09-26T04:23:07.533Z
socks4,105.214.54.240,5678,socks4://105.214.54.240:5678,elite,true,4356,2344,68.8,72.6,168,105.214.54.240,1,za,Gauteng,Johannesburg,Africa/Johannesburg,16637,MTN SA,15,2026-09-24T23:31:36.154Z,2026-09-26T04:28:22.233Z
socks4,105.214.104.26,5678,socks4://105.214.104.26:5678,elite,false,4365,2351,66.4,69.7,762,105.214.104.26,1,za,Gauteng,Johannesburg,Africa/Johannesburg,16637,MTN SA,21,2026-09-18T03:43:35.239Z,2026-09-26T04:28:18.555Z
socks4,105.27.180.194,1080,socks4://105.27.180.194:1080,elite,false,2214,2223,74.1,69.6,746,105.27.180.194,1,za,Gauteng,Johannesburg,Africa/Johannesburg,37100,SEACOM Limited,13,2026-02-08T01:22:48.172Z,2026-09-26T04:32:08.388Z
socks4,105.30.248.241,1080,socks4://105.30.248.241:1080,elite,false,1416,3438,81.4,68.7,744,105.23.242.198,1,za,KwaZulu-Natal,Durban,Africa/Johannesburg,37100,SEACOM Limited,15,2026-07-05T02:41:00.284Z,2026-09-26T04:26:08.526Z
socks4,102.215.245.6,4153,socks4://102.215.245.6:4153,elite,true,1268,1264,60,66.3,735,102.215.245.6,1,za,Gauteng,Johannesburg,Africa/Johannesburg,329058,INFINITY CONNECT (PTY) LTD,13,2026-07-04T23:41:39.889Z,2026-09-26T04:27:12.223Z
socks4,213.150.221.198,4153,socks4://213.150.221.198:4153,elite,false,4290,3278,70.9,56.9,645,41.79.222.90,1,za,Gauteng,Johannesburg,Africa/Johannesburg,327794,Clear Access (Pty) Ltd,14,2025-09-04T23:49:06.644Z,2026-09-26T04:29:09.872Z
socks4,196.216.133.18,1080,socks4://196.216.133.18:1080,elite,true,2556,2553,58.5,53,649,196.216.133.18,1,za,North West,Ventersdorp,Africa/Johannesburg,328471,HERO TELECOMS (PTY) LTD,12,2025-09-05T20:06:36.654Z,2026-09-26T04:24:36.868Z
socks4,165.165.178.142,4153,socks4://165.165.178.142:4153,elite,false,8472,3435.5,43.2,38.1,588,165.165.178.142,1,za,Gauteng,Johannesburg,Africa/Johannesburg,5713,Telkom SA Ltd.,20,2026-07-06T18:01:57.640Z,2026-09-26T04:25:51.025Z
socks4,105.214.51.182,5678,socks4://105.214.51.182:5678,elite,true,1343,2350,94.3,,35,105.214.51.182,1,za,Gauteng,Johannesburg,Africa/Johannesburg,16637,MTN SA,12,2026-09-25T22:43:48.161Z,2026-09-26T04:31:53.699Z
