protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,41.220.16.219,80,http://41.220.16.219:80,anonymous,false,1790,2043.5,76.3,68.4,831,41.220.17.62,11,zw,Harare,Harare,Africa/Harare,37204,Telone PVT Ltd,8,2026-09-09T21:22:41.910Z,2026-09-20T04:20:51.709Z
http,41.220.16.211,80,http://41.220.16.211:80,anonymous,false,1058,2031,83.8,68,824,41.220.17.62,11,zw,Harare,Harare,Africa/Harare,37204,Telone PVT Ltd,7,2025-12-07T12:46:39.081Z,2026-09-20T04:20:50.106Z
http,197.221.240.247,80,http://197.221.240.247:80,anonymous,false,1042,1047.5,77.3,67.8,838,41.220.17.62,11,zw,Harare,Harare,Africa/Harare,37204,Telone PVT Ltd,7,2025-12-06T18:02:11.448Z,2026-09-20T04:22:57.157Z
http,41.220.16.208,80,http://41.220.16.208:80,anonymous,false,1036,3057,79.4,67.2,834,41.220.17.62,11,zw,Harare,Harare,Africa/Harare,37204,Telone PVT Ltd,1,2026-03-17T17:23:31.427Z,2026-09-20T04:23:14.760Z
http,197.221.240.178,80,http://197.221.240.178:80,anonymous,false,4064,4072.5,77.4,67.2,829,41.220.17.62,11,zw,Harare,Harare,Africa/Harare,37204,Telone PVT Ltd,1,2026-03-17T17:23:32.141Z,2026-09-20T04:28:40.137Z
http,197.221.249.198,80,http://197.221.249.198:80,anonymous,false,4065,2066,80.4,67,830,41.220.17.62,11,zw,Harare,Harare,Africa/Harare,37204,Telone PVT Ltd,1,2026-03-17T17:23:33.517Z,2026-09-20T04:21:43.022Z
http,197.221.249.197,80,http://197.221.249.197:80,anonymous,false,8318,3091.5,81.2,66.8,813,41.220.17.62,11,zw,Harare,Harare,Africa/Harare,37204,Telone PVT Ltd,5,2025-12-06T19:02:42.108Z,2026-09-20T04:21:20.002Z
http,41.220.16.218,80,http://41.220.16.218:80,anonymous,false,4071,3103.5,71.9,66.7,819,41.220.17.62,11,zw,Harare,Harare,Africa/Harare,37204,Telone PVT Ltd,1,2026-03-17T17:23:34.127Z,2026-09-20T04:24:11.431Z
http,197.221.249.196,80,http://197.221.249.196:80,anonymous,false,4065,2064.5,80.2,65.6,813,41.220.17.62,11,zw,Harare,Harare,Africa/Harare,37204,Telone PVT Ltd,5,2025-12-06T18:02:08.936Z,2026-09-20T04:26:23.063Z
http,41.220.16.213,80,http://41.220.16.213:80,anonymous,false,8158,3109,77.1,65.5,817,41.220.17.62,11,zw,Harare,Harare,Africa/Harare,37204,Telone PVT Ltd,1,2026-03-17T17:23:32.825Z,2026-09-20T04:19:31.661Z
http,197.221.234.252,80,http://197.221.234.252:80,anonymous,false,4099,2048,79.2,65.4,830,41.220.17.62,11,zw,Harare,Harare,Africa/Harare,37204,Telone PVT Ltd,6,2025-12-06T18:37:17.770Z,2026-09-20T04:21:26.416Z
