protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,41.220.16.219,80,http://41.220.16.219:80,anonymous,false,4084,2060.5,60.6,71,900,41.220.17.62,15,zw,Harare,Harare,Africa/Harare,37204,Telone PVT Ltd,8,2026-09-09T21:22:41.910Z,2026-09-18T04:29:31.605Z
http,41.220.16.223,80,http://41.220.16.223:80,anonymous,false,4050,2089,53.9,70.5,907,41.220.17.62,15,zw,Harare,Harare,Africa/Harare,37204,Telone PVT Ltd,6,2026-09-09T21:22:41.910Z,2026-09-18T04:30:09.118Z
http,197.221.240.182,80,http://197.221.240.182:80,anonymous,false,1028,2080,55.5,70,906,41.220.17.62,15,zw,Harare,Harare,Africa/Harare,37204,Telone PVT Ltd,6,2026-08-16T21:48:56.446Z,2026-09-18T04:22:38.882Z
http,41.220.16.211,80,http://41.220.16.211:80,anonymous,false,8268,2057.5,57.7,70,890,41.220.17.62,15,zw,Harare,Harare,Africa/Harare,37204,Telone PVT Ltd,7,2025-12-07T12:46:39.081Z,2026-09-18T04:26:41.332Z
http,41.220.16.210,80,http://41.220.16.210:80,anonymous,false,2055,3082.5,59.3,69.9,898,41.220.17.62,15,zw,Harare,Harare,Africa/Harare,37204,Telone PVT Ltd,6,2026-02-20T07:59:30.716Z,2026-09-18T04:31:53.273Z
http,197.221.249.198,80,http://197.221.249.198:80,anonymous,false,8361,3069.5,51.5,69.8,900,41.220.17.62,15,zw,Harare,Harare,Africa/Harare,37204,Telone PVT Ltd,1,2026-03-17T17:23:33.517Z,2026-09-18T04:29:16.692Z
http,197.221.234.252,80,http://197.221.234.252:80,anonymous,false,4054,2084.5,56.2,69.6,903,41.220.17.62,15,zw,Harare,Harare,Africa/Harare,37204,Telone PVT Ltd,6,2025-12-06T18:37:17.770Z,2026-09-18T04:26:09.141Z
http,197.221.249.199,80,http://197.221.249.199:80,anonymous,false,2078,2057.5,53.5,69.4,872,41.220.17.62,15,zw,Harare,Harare,Africa/Harare,37204,Telone PVT Ltd,6,2025-12-06T20:03:30.480Z,2026-09-18T04:32:07.163Z
http,197.221.234.149,80,http://197.221.234.149:80,anonymous,false,2088,1062.5,53.4,69.3,898,41.220.17.62,15,zw,Harare,Harare,Africa/Harare,37204,Telone PVT Ltd,7,2025-12-06T18:37:38.297Z,2026-09-18T04:21:48.949Z
http,41.220.16.215,80,http://41.220.16.215:80,anonymous,false,8221,4074.5,54,69.3,898,41.220.17.62,15,zw,Harare,Harare,Africa/Harare,37204,Telone PVT Ltd,7,2025-12-06T21:03:56.669Z,2026-09-18T04:26:15.529Z
http,197.221.249.196,80,http://197.221.249.196:80,anonymous,false,1032,2049,46.9,69.1,867,41.220.17.62,15,zw,Harare,Harare,Africa/Harare,37204,Telone PVT Ltd,1,2026-03-17T17:23:33.782Z,2026-09-18T04:24:49.487Z
http,41.220.22.7,80,http://41.220.22.7:80,anonymous,false,2077,2074,55,68,869,41.220.17.62,15,zw,Harare,Harare,Africa/Harare,37204,Telone PVT Ltd,1,2026-03-17T17:23:32.271Z,2026-09-18T04:31:34.738Z
http,197.221.237.248,80,http://197.221.237.248:80,anonymous,false,8299,4053,46.2,67.7,884,41.220.17.62,15,zw,Harare,Harare,Africa/Harare,37204,Telone PVT Ltd,1,2026-03-17T17:23:33.444Z,2026-09-18T04:21:55.352Z
http,197.221.249.197,80,http://197.221.249.197:80,anonymous,false,2052,1589.5,51.5,67.5,876,41.220.17.62,15,zw,Harare,Harare,Africa/Harare,37204,Telone PVT Ltd,5,2025-12-06T19:02:42.108Z,2026-09-18T04:28:45.468Z
http,197.221.240.246,80,http://197.221.240.246:80,anonymous,false,8123,4067.5,55.8,67.3,887,41.220.17.62,15,zw,Harare,Harare,Africa/Harare,37204,Telone PVT Ltd,6,2025-12-06T20:03:30.207Z,2026-09-18T04:27:01.467Z
