protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,34.44.49.215,80,http://34.44.49.215:80,elite,false,187,143,100,100,716,34.45.97.62,1,us,Iowa,Council Bluffs,America/Chicago,396982,Google LLC,12,2025-12-06T20:03:28.891Z,2026-09-15T19:34:17.319Z
http,109.199.119.160,80,http://109.199.119.160:80,elite,false,214,225.5,100,100,716,109.199.119.160,1,fr,Grand Est,Lauterbourg,Europe/Paris,51167,Contabo GmbH,12,2026-07-29T19:59:31.982Z,2026-09-15T19:31:07.187Z
http,178.212.144.7,80,http://178.212.144.7:80,transparent,false,263,263,100,100,715,178.212.144.7,1,pl,Podlasie,Augustów,Europe/Warsaw,51436,IDEALAN Sp. z o.o.,1,2026-03-17T17:23:32.744Z,2026-09-15T19:35:32.871Z
http,94.78.67.171,80,http://94.78.67.171:80,anonymous,false,332,334,100,100,715,94.78.67.171,1,cy,Keryneia,Kyrenia,Asia/Famagusta,44558,Netonline Bilisim Sirketi LTD,10,2026-07-26T20:20:40.472Z,2026-09-15T19:32:46.107Z
http,181.78.23.187,999,http://181.78.23.187:999,transparent,true,494,587.5,100,100,714,181.78.23.187,3,co,Bolívar,Cartagena,America/Bogota,52468,UFINET PANAMA S.A.,16,2026-08-26T01:02:03.264Z,2026-09-15T19:31:53.760Z
http,116.202.108.111,3128,http://116.202.108.111:3128,transparent,false,515,527.5,100,100,714,116.202.108.111,1,de,Saxony,Falkenstein,Europe/Berlin,24940,Hetzner Online GmbH,6,2026-07-10T09:52:33.796Z,2026-09-15T19:31:33.314Z
http,91.103.120.48,80,http://91.103.120.48:80,elite,false,793,781,100,100,714,91.103.120.59,1,hk,Hong Kong,Hong Kong,Asia/Hong_Kong,215355,Alice Network,8,2026-08-30T23:07:01.812Z,2026-09-15T19:33:08.642Z
http,140.238.14.161,8080,http://140.238.14.161:8080,transparent,false,817,790.5,100,100,714,140.238.14.161,1,kr,Seoul,Seoul,Asia/Seoul,31898,Oracle Corporation,12,2026-09-06T11:13:08.921Z,2026-09-15T19:27:34.123Z
http,97.74.87.226,80,http://97.74.87.226:80,elite,false,907,924.5,100,100,714,97.74.87.226,1,sg,Singapore,Singapore,Asia/Singapore,26496,"GoDaddy.com, LLC",10,2025-09-10T19:34:34.181Z,2026-09-15T19:35:34.412Z
http,101.66.199.225,8085,http://101.66.199.225:8085,elite,false,930,933,100,100,53,123.157.69.126,2,cn,Zhejiang,Jiaxing,Asia/Shanghai,4837,CHINA UNICOM China169 Backbone,10,2026-09-15T10:50:51.420Z,2026-09-15T19:31:34.355Z
