protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
socks4,199.66.183.251,4145,socks4://199.66.183.251:4145,elite,false,377,377.5,100,100,1005,199.66.183.251,2,us,Georgia,Peachtree City,America/New_York,20081,NET2ATLANTA.COM LLC,12,2026-07-23T22:44:40.194Z,2026-09-20T04:24:10.913Z
socks4,216.105.143.146,4145,socks4://216.105.143.146:4145,elite,false,379,372.5,100,100,1004,216.105.143.146,2,us,Georgia,Forest Park,America/New_York,20081,NET2ATLANTA.COM LLC,13,2026-09-03T07:47:52.225Z,2026-09-20T04:21:56.508Z
socks4,174.75.211.222,4145,socks4://174.75.211.222:4145,elite,false,423,436.5,100,100,1006,174.75.211.222,2,us,Louisiana,Donaldsonville,America/Chicago,22773,Cox Communications Inc.,11,2025-09-10T19:33:53.633Z,2026-09-20T04:27:49.245Z
socks4,72.205.0.67,4145,socks4://72.205.0.67:4145,elite,false,423,436.5,100,100,1005,72.205.0.67,2,us,Virginia,Fredericksburg,America/New_York,22773,Cox Communications Inc.,1,2026-03-17T17:23:29.445Z,2026-09-20T04:23:26.653Z
socks4,184.178.172.14,4145,socks4://184.178.172.14:4145,elite,false,424,439.5,100,100,1007,184.178.172.14,2,us,Virginia,Roanoke,America/New_York,22773,Cox Communications Inc.,1,2026-03-17T17:23:29.622Z,2026-09-20T04:28:25.928Z
socks4,98.175.31.195,4145,socks4://98.175.31.195:4145,elite,false,426,437.5,100,100,1006,98.175.31.195,2,us,Virginia,Norfolk,America/New_York,22773,Cox Communications Inc.,11,2025-09-10T19:34:11.528Z,2026-09-20T04:23:41.237Z
socks4,68.1.210.163,4145,socks4://68.1.210.163:4145,elite,false,427,438,100,100,1007,68.1.210.163,2,us,Louisiana,Youngsville,America/Chicago,22773,Cox Communications Inc.,11,2025-09-10T19:34:13.192Z,2026-09-20T04:26:28.912Z
socks4,72.194.42.156,4145,socks4://72.194.42.156:4145,elite,false,427,446,100,100,1007,72.194.42.156,2,us,Georgia,Atlanta,America/New_York,22773,Cox Communications Inc.,17,2026-09-05T06:58:12.534Z,2026-09-20T04:24:54.732Z
socks4,68.1.210.189,4145,socks4://68.1.210.189:4145,elite,false,428,438.5,100,100,1004,68.1.210.189,2,us,Louisiana,Youngsville,America/Chicago,22773,Cox Communications Inc.,18,2025-09-10T19:34:13.352Z,2026-09-20T04:28:52.758Z
socks4,72.195.34.41,4145,socks4://72.195.34.41:4145,elite,false,428,436,100,100,1000,72.195.34.41,2,us,California,Irvine,America/Los_Angeles,22773,Cox Communications Inc.,19,2025-09-10T19:34:14.038Z,2026-09-20T04:26:32.581Z
socks4,174.64.199.82,4145,socks4://174.64.199.82:4145,elite,false,429,428,100,100,1005,174.64.199.82,2,us,Oklahoma,Oklahoma City,America/Chicago,22773,Cox Communications Inc.,1,2026-03-17T17:23:31.145Z,2026-09-20T04:25:34.162Z
socks4,72.194.42.131,4145,socks4://72.194.42.131:4145,elite,false,429,429.5,100,100,1004,72.194.42.131,2,us,Georgia,Atlanta,America/New_York,22773,Cox Communications Inc.,17,2026-09-04T08:46:33.981Z,2026-09-20T04:29:29.380Z
socks4,174.64.199.79,4145,socks4://174.64.199.79:4145,elite,false,432,438,100,100,1006,174.64.199.79,2,us,Oklahoma,Oklahoma City,America/Chicago,22773,Cox Communications Inc.,18,2025-09-10T19:34:04.151Z,2026-09-20T04:21:00.804Z
socks4,184.181.217.206,4145,socks4://184.181.217.206:4145,elite,false,432,433,100,100,1009,184.181.217.206,2,us,Arizona,Goodyear,America/Phoenix,22773,Cox Communications Inc.,11,2025-09-10T19:33:55.652Z,2026-09-20T04:29:33.568Z
socks4,72.207.33.64,4145,socks4://72.207.33.64:4145,elite,false,432,449,100,100,1001,72.207.33.64,2,us,California,San Diego,America/Los_Angeles,22773,Cox Communications Inc.,18,2025-09-04T23:50:08.402Z,2026-09-20T04:22:46.246Z
socks4,174.77.111.196,4145,socks4://174.77.111.196:4145,elite,false,433,436.5,100,100,1003,174.77.111.196,2,us,Virginia,Suffolk,America/New_York,22773,Cox Communications Inc.,11,2025-09-10T19:34:04.190Z,2026-09-20T04:24:42.252Z
socks4,174.77.111.198,49547,socks4://174.77.111.198:49547,elite,false,433,432,100,100,1005,174.77.111.198,2,us,Virginia,Suffolk,America/New_York,22773,Cox Communications Inc.,11,2025-09-10T19:34:14.235Z,2026-09-20T04:19:54.513Z
socks4,184.181.217.194,4145,socks4://184.181.217.194:4145,elite,false,433,433,100,100,1005,184.181.217.194,2,us,Arizona,Goodyear,America/Phoenix,22773,Cox Communications Inc.,19,2025-09-10T19:34:07.363Z,2026-09-20T04:26:36.222Z
socks4,72.207.109.5,4145,socks4://72.207.109.5:4145,elite,false,433,437,100,100,1002,72.207.109.5,2,us,California,San Diego,America/Los_Angeles,22773,Cox Communications Inc.,19,2025-09-10T19:35:14.455Z,2026-09-20T04:29:13.647Z
socks4,72.223.188.67,4145,socks4://72.223.188.67:4145,elite,false,433,432.5,100,100,1006,72.223.188.67,2,us,Georgia,Atlanta,America/New_York,22773,Cox Communications Inc.,10,2025-09-04T23:50:08.394Z,2026-09-20T04:28:04.346Z
socks4,72.223.188.92,4145,socks4://72.223.188.92:4145,elite,false,434,434.5,100,100,1005,72.223.188.92,2,us,Georgia,Atlanta,America/New_York,22773,Cox Communications Inc.,10,2025-09-04T23:50:04.768Z,2026-09-20T04:26:08.407Z
socks4,70.166.167.38,57728,socks4://70.166.167.38:57728,elite,false,439,433.5,100,100,1009,70.166.167.38,2,us,Arizona,Peoria,America/Phoenix,22773,Cox Communications Inc.,1,2026-03-17T17:23:29.428Z,2026-09-20T04:23:32.921Z
socks4,98.182.147.97,4145,socks4://98.182.147.97:4145,elite,false,440,440,100,100,1004,98.182.147.97,2,us,Nevada,Las Vegas,America/Los_Angeles,22773,Cox Communications Inc.,18,2025-09-04T23:50:08.401Z,2026-09-20T04:25:21.204Z
socks4,184.181.217.210,4145,socks4://184.181.217.210:4145,elite,false,441,447,100,100,1004,184.181.217.210,2,us,Arizona,Goodyear,America/Phoenix,22773,Cox Communications Inc.,19,2025-09-10T19:34:11.933Z,2026-09-20T04:23:49.953Z
socks4,98.178.72.30,4145,socks4://98.178.72.30:4145,elite,false,442,430,100,100,1001,98.178.72.30,2,us,Oklahoma,Owasso,America/Chicago,22773,Cox Communications Inc.,1,2026-03-17T17:23:31.033Z,2026-09-20T04:27:10.432Z
socks4,174.75.211.193,4145,socks4://174.75.211.193:4145,elite,false,444,442,100,100,1005,174.75.211.193,2,us,Louisiana,Donaldsonville,America/Chicago,22773,Cox Communications Inc.,17,2025-09-10T21:05:15.226Z,2026-09-20T04:23:27.166Z
socks4,72.195.34.58,4145,socks4://72.195.34.58:4145,elite,false,444,434.5,100,100,1008,72.195.34.58,2,us,California,Irvine,America/Los_Angeles,22773,Cox Communications Inc.,10,2025-09-10T19:34:14.920Z,2026-09-20T04:26:40.443Z
socks4,184.181.217.201,4145,socks4://184.181.217.201:4145,elite,false,445,440.5,100,100,1008,184.181.217.201,2,us,Arizona,Goodyear,America/Phoenix,22773,Cox Communications Inc.,1,2026-03-17T17:23:31.097Z,2026-09-20T04:25:58.108Z
socks4,174.77.111.197,4145,socks4://174.77.111.197:4145,elite,false,447,446.5,100,100,1004,174.77.111.197,2,us,Virginia,Suffolk,America/New_York,22773,Cox Communications Inc.,11,2025-09-10T19:34:12.908Z,2026-09-20T04:27:46.012Z
socks4,184.178.172.17,4145,socks4://184.178.172.17:4145,elite,false,453,446.5,100,100,1008,184.178.172.17,2,us,Virginia,Roanoke,America/New_York,22773,Cox Communications Inc.,1,2026-03-17T17:23:29.327Z,2026-09-20T04:21:52.793Z
socks4,69.61.200.104,36181,socks4://69.61.200.104:36181,elite,false,462,449.5,100,100,1003,69.61.200.104,2,us,Ohio,Cincinnati,America/New_York,6181,Cincinnati Bell Telephone Company LLC,17,2025-09-10T19:34:15.004Z,2026-09-20T04:25:02.044Z
socks4,98.181.137.83,4145,socks4://98.181.137.83:4145,elite,false,470,447.5,100,100,1005,98.181.137.83,2,us,Nevada,Las Vegas,America/Los_Angeles,22773,Cox Communications Inc.,11,2025-09-10T19:34:13.438Z,2026-09-20T04:23:10.033Z
socks4,98.188.47.150,4145,socks4://98.188.47.150:4145,elite,false,470,431,100,100,1006,98.188.47.150,2,us,Nebraska,Omaha,America/Chicago,22773,Cox Communications Inc.,1,2026-03-17T17:23:30.945Z,2026-09-20T04:21:19.959Z
socks4,216.68.128.121,4145,socks4://216.68.128.121:4145,elite,false,478,432.5,100,100,1006,216.68.128.121,2,us,Ohio,Cincinnati,America/New_York,6181,Cincinnati Bell Telephone Company LLC,17,2025-09-04T23:50:06.560Z,2026-09-20T04:23:58.872Z
socks4,98.188.47.132,4145,socks4://98.188.47.132:4145,elite,false,478,443,100,100,1000,98.188.47.132,2,us,Nebraska,Omaha,America/Chicago,22773,Cox Communications Inc.,19,2025-09-10T19:34:13.130Z,2026-09-20T04:25:08.116Z
socks4,70.166.65.160,4145,socks4://70.166.65.160:4145,elite,false,490,443.5,100,100,1004,70.166.65.160,2,us,Virginia,Fairfax,America/New_York,22773,Cox Communications Inc.,7,2025-09-04T23:50:06.561Z,2026-09-20T04:27:55.328Z
socks4,72.207.113.97,4145,socks4://72.207.113.97:4145,elite,false,505,452.5,100,100,1003,72.207.113.97,2,us,California,San Diego,America/Los_Angeles,22773,Cox Communications Inc.,16,2025-09-05T23:19:54.792Z,2026-09-20T04:24:50.975Z
socks4,213.111.146.36,18080,socks4://213.111.146.36:18080,elite,false,507,505,100,100,681,213.111.146.36,3,nl,North Holland,Haarlem,Europe/Amsterdam,43641,SOLLUTIUM EU Sp z.o.o.,9,2026-02-06T01:57:28.536Z,2026-09-20T04:21:46.699Z
socks4,72.195.34.42,4145,socks4://72.195.34.42:4145,elite,false,517,439,100,100,1003,72.195.34.42,2,us,California,Irvine,America/Los_Angeles,22773,Cox Communications Inc.,8,2025-09-10T19:34:13.296Z,2026-09-20T04:22:11.774Z
